"UNITID","Students","Demographic"
107619,1061,"women"
107637,450,"men"
107637,915,"women"
107655,1,"men"
107655,49,"women"
107664,2266,"men"
107664,4412,"women"
107725,561,"men"
107725,1078,"women"
107743,331,"men"
107743,541,"women"
107789,7,"men"
107789,149,"women"
107831,0,"men"
107831,88,"women"
107840,265,"men"
107840,318,"women"
107877,267,"men"
107877,269,"women"
107974,497,"men"
107974,1181,"women"
107983,2501,"men"
107983,3478,"women"
107992,562,"men"
107992,873,"women"
108065,2,"men"
108065,17,"women"
108092,2471,"men"
108092,3668,"women"
108232,3343,"men"
108232,5120,"women"
108269,47,"men"
108269,90,"women"
108667,4342,"men"
108667,6034,"women"
108807,7675,"men"
108807,8633,"women"
108852,75,"men"
108852,106,"women"
108861,109,"men"
108861,105,"women"
108870,194,"men"
108870,254,"women"
108977,83,"men"
108977,400,"women"
109040,756,"men"
109040,2546,"women"
109208,24545,"men"
109208,22832,"women"
109350,7546,"men"
109350,9609,"women"
109651,1246,"men"
109651,1677,"women"
109721,125,"men"
109721,311,"women"
109785,2285,"men"
109785,5621,"women"
109819,20631,"men"
109819,24547,"women"
109907,1874,"men"
109907,3211,"women"
109934,93,"men"
109934,580,"women"
110060,243,"men"
110060,109,"women"
110097,2720,"men"
110097,3126,"women"
110194,467,"men"
110194,4,"women"
110219,512,"men"
110219,3487,"women"
110246,5663,"men"
110246,7385,"women"
110316,447,"men"
110316,1955,"women"
110334,6880,"men"
110334,7689,"women"
110361,4751,"men"
110361,9055,"women"
110370,534,"men"
110370,1098,"women"
110398,498,"men"
110398,737,"women"
110404,1557,"men"
110404,991,"women"
110413,1669,"men"
110413,2256,"women"
110422,11829,"men"
110422,12000,"women"
110468,1514,"men"
110468,4062,"women"
110486,4100,"men"
110486,7893,"women"
110495,3760,"men"
110495,7540,"women"
110510,8230,"men"
110510,13006,"women"
110529,16033,"men"
110529,13286,"women"
110538,6862,"men"
110538,9074,"women"
110547,6641,"men"
110547,10555,"women"
110556,10661,"men"
110556,15352,"women"
110565,19973,"men"
110565,26660,"women"
110574,6119,"men"
110574,8984,"women"
110583,18197,"men"
110583,25902,"women"
110592,11653,"men"
110592,15840,"women"
110608,18988,"men"
110608,23030,"women"
110617,16094,"men"
110617,20814,"women"
110635,22448,"men"
110635,26108,"women"
110644,17382,"men"
110644,24534,"women"
110653,17413,"men"
110653,21133,"women"
110662,21055,"men"
110662,28333,"women"
110671,14249,"men"
110671,14086,"women"
110680,21437,"men"
110680,22979,"women"
110699,1138,"men"
110699,2046,"women"
110705,12202,"men"
110705,15460,"women"
110714,10448,"men"
110714,10865,"women"
110778,402,"men"
110778,905,"women"
110875,1,"men"
110875,126,"women"
111045,45,"men"
111045,74,"women"
111054,29,"men"
111054,147,"women"
111081,548,"men"
111081,838,"women"
111188,755,"men"
111188,169,"women"
111391,264,"men"
111391,410,"women"
111434,4499,"men"
111434,6472,"women"
111461,18600,"men"
111461,13352,"women"
111513,4,"men"
111513,391,"women"
111638,257,"men"
111638,575,"women"
111708,311,"men"
111708,38,"women"
111717,281,"men"
111717,54,"women"
111726,211,"men"
111726,45,"women"
111744,269,"men"
111744,20,"women"
111762,162,"men"
111762,79,"women"
111799,53,"men"
111799,253,"women"
111887,14104,"men"
111887,16595,"women"
111896,3850,"men"
111896,5389,"women"
111920,9161,"men"
111920,9375,"women"
111939,12916,"men"
111939,19349,"women"
111948,4063,"men"
111948,6411,"women"
111966,333,"men"
111966,774,"women"
112075,1812,"men"
112075,3101,"women"
112084,67,"men"
112084,83,"women"
112127,31,"men"
112127,41,"women"
112172,6479,"men"
112172,8301,"women"
112181,4,"men"
112181,184,"women"
112190,12509,"men"
112190,14409,"women"
112251,804,"men"
112251,1163,"women"
112260,710,"men"
112260,709,"women"
112288,83,"men"
112288,1080,"women"
112367,85,"men"
112367,606,"women"
112385,8878,"men"
112385,7445,"women"
112394,464,"men"
112394,157,"women"
112455,64,"men"
112455,129,"women"
112525,1380,"men"
112525,2380,"women"
112561,1679,"men"
112561,1974,"women"
112570,94,"men"
112570,70,"women"
112686,2692,"men"
112686,4472,"women"
112826,3788,"men"
112826,5833,"women"
113096,9850,"men"
113096,13282,"women"
113111,4091,"men"
113111,5172,"women"
113193,7269,"men"
113193,7676,"women"
113218,5986,"men"
113218,7496,"women"
113236,8537,"men"
113236,11674,"women"
113333,14504,"men"
113333,14116,"women"
113449,78,"men"
113449,201,"women"
113573,7119,"men"
113573,8812,"women"
113582,9,"men"
113582,119,"women"
113616,25,"men"
113616,20,"women"
113634,11763,"men"
113634,12864,"women"
113698,722,"men"
113698,1691,"women"
113704,58,"men"
113704,9,"women"
113856,30269,"men"
113856,27758,"women"
113980,15114,"men"
113980,16956,"women"
114114,36,"men"
114114,172,"women"
114266,6994,"men"
114266,8218,"women"
114354,246,"men"
114354,1304,"women"
114433,1463,"men"
114433,1415,"women"
114460,27,"men"
114460,368,"women"
114549,260,"men"
114549,1043,"women"
114585,82,"men"
114585,278,"women"
114637,6,"men"
114637,88,"women"
114716,12405,"men"
114716,12096,"women"
114734,56,"men"
114734,42,"women"
114761,11,"men"
114761,106,"women"
114789,17945,"men"
114789,20863,"women"
114813,904,"men"
114813,2627,"women"
114840,1491,"men"
114840,1210,"women"
114859,12374,"men"
114859,14490,"women"
114938,4754,"men"
114938,4450,"women"
114947,142,"men"
114947,108,"women"
115001,7658,"men"
115001,8708,"women"
115010,291,"men"
115010,949,"women"
115083,3105,"men"
115083,2761,"women"
115126,8249,"men"
115126,9719,"women"
115214,95,"men"
115214,93,"women"
115296,8251,"men"
115296,11371,"women"
115357,44,"men"
