"unitid","Year","Murder","Negligent Manslaughter","Rape","Fondling","Incest","Statuatory Rape","Robbery","Aggravated Assault","Burglary","Motor Vehicle Theft","Arson"
102368006,"2019",0,0,0,0,0,0,0,0,0,0,0
102368007,"2019",0,0,0,0,0,0,0,0,0,0,0
102368008,"2019",0,0,0,0,0,0,0,0,0,0,0
102377001,"2019",0,0,1,0,0,0,0,0,1,0,0
102395001,"2019",0,0,0,0,0,0,0,0,0,0,0
102429001,"2019",0,0,0,0,0,0,0,0,0,0,0
102429002,"2019",0,0,0,0,0,0,0,0,0,0,0
102429003,"2019",0,0,0,0,0,0,0,0,0,0,0
102429004,"2019",0,0,0,0,0,0,0,0,0,0,0
102553001,"2019",0,0,3,0,0,0,0,5,3,5,1
102553002,"2019",0,0,0,1,0,0,0,0,0,0,0
102553003,"2019",0,0,0,1,0,0,1,1,0,0,0
102553004,"2019",0,0,0,0,0,0,0,0,0,0,0
102553005,"2019",0,0,0,0,0,0,0,0,0,0,0
102553006,"2019",0,0,0,0,0,0,0,0,0,0,0
102553007,"2019",0,0,0,0,0,0,0,0,0,0,0
102553008,"2019",0,0,0,0,0,0,0,0,0,0,0
102553009,"2019",0,0,0,0,0,0,0,0,0,0,0
102580001,"2019",0,0,0,0,0,0,0,0,0,0,0
102614001,"2019",0,0,5,2,0,0,0,3,4,6,0
102614002,"2019",0,0,0,0,0,0,0,0,0,0,0
102614003,"2019",0,0,0,0,0,0,0,0,0,0,0
102614004,"2019",0,0,0,0,0,0,0,0,0,0,0
102614005,"2019",0,0,0,0,0,0,0,0,0,0,0
102614007,"2019",0,0,0,0,0,0,0,0,0,0,0
102614008,"2019",0,0,0,0,0,0,0,0,0,0,0
102614009,"2019",0,0,0,0,0,0,0,0,0,0,0
102632001,"2019",0,0,1,2,0,0,0,1,1,0,0
102632002,"2019",0,0,0,0,0,0,0,0,0,0,0
102632003,"2019",0,0,0,0,0,0,0,0,0,0,0
102669001,"2019",0,0,0,0,0,0,0,0,3,2,0
102711001,"2019",0,0,0,0,0,0,0,0,0,0,0
102711002,"2019",0,0,0,0,0,0,0,0,0,0,1
102711004,"2019",0,0,0,0,0,0,0,0,0,0,0
102711005,"2019",0,0,0,0,0,0,0,0,0,0,0
102845001,"2019",0,0,0,0,0,0,0,0,0,0,0
102845002,"2019",0,0,0,0,0,0,0,0,0,0,0
102845003,"2019",0,0,0,0,0,0,0,0,0,0,0
102845004,"2019",0,0,0,0,0,0,0,0,0,0,0
102845006,"2019",0,0,0,0,0,0,0,0,0,0,0
102845007,"2019",0,0,0,0,0,0,0,0,0,0,0
102845008,"2019",0,0,0,0,0,0,0,0,0,0,0
102845009,"2019",0,0,0,0,0,0,0,0,0,0,0
102845010,"2019",0,0,0,0,0,0,0,0,0,0,0
102845011,"2019",0,0,0,0,0,0,0,0,0,0,0
102845012,"2019",0,0,0,0,0,0,0,0,0,0,0
102845013,"2019",0,0,0,0,0,0,0,0,0,0,0
102845014,"2019",0,0,0,0,0,0,0,0,0,0,0
102845015,"2019",0,0,0,0,0,0,0,0,0,0,0
103501001,"2019",0,0,0,0,0,0,0,1,0,0,0
103741001,"2019",0,0,0,0,0,0,0,0,0,0,0
103893001,"2019",0,0,0,0,0,0,0,1,0,0,0
103893007,"2019",0,0,0,0,0,0,0,4,0,0,0
103893008,"2019",0,0,0,0,0,0,0,0,0,0,0
103893009,"2019",0,0,0,0,0,0,0,1,0,0,0
103945001,"2019",0,0,0,0,0,0,0,0,0,0,0
103954001,"2019",0,0,0,0,0,0,0,0,0,0,0
103963001,"2019",0,0,0,0,0,0,0,0,1,0,0
104090001,"2019",0,0,0,0,0,0,0,0,0,0,0
104151001,"2019",0,0,23,15,0,0,3,5,20,10,3
104151005,"2019",0,0,0,0,0,0,0,0,0,0,0
104151006,"2019",0,0,0,0,0,0,0,0,0,0,0
104151007,"2019",0,0,0,0,0,0,0,0,0,0,0
