"UNITID","Students","Demographic"
107220,5,"Men"
107220,240,"Women"
107293,1,"Men"
107293,51,"Women"
107318,490,"Men"
107318,532,"Women"
107327,517,"Men"
107327,944,"Women"
107442,28,"Men"
107442,11,"Women"
107460,877,"Men"
107460,1212,"Women"
107488,161,"Men"
107488,45,"Women"
107512,810,"Men"
107512,1048,"Women"
107521,1042,"Men"
107521,941,"Women"
107549,390,"Men"
107549,679,"Women"
107558,342,"Men"
107558,436,"Women"
107585,1005,"Men"
107585,1243,"Women"
107600,373,"Men"
107600,407,"Women"
107619,479,"Men"
107619,720,"Women"
107637,365,"Men"
107637,551,"Women"
107655,0,"Men"
107655,42,"Women"
107664,1490,"Men"
107664,2988,"Women"
107725,489,"Men"
107725,816,"Women"
107743,343,"Men"
107743,443,"Women"
107789,4,"Men"
107789,95,"Women"
107831,1,"Men"
107831,53,"Women"
107840,126,"Men"
107840,161,"Women"
107877,255,"Men"
107877,262,"Women"
107974,375,"Men"
107974,832,"Women"
107983,1945,"Men"
107983,2787,"Women"
107992,427,"Men"
107992,564,"Women"
108065,0,"Men"
108065,8,"Women"
108092,2197,"Men"
108092,3299,"Women"
108232,2221,"Men"
108232,3277,"Women"
108269,34,"Men"
108269,80,"Women"
108667,2617,"Men"
108667,3524,"Women"
108807,5348,"Men"
108807,6115,"Women"
108852,42,"Men"
108852,70,"Women"
108861,49,"Men"
108861,59,"Women"
108870,163,"Men"
108870,216,"Women"
108977,45,"Men"
108977,289,"Women"
109040,521,"Men"
109040,1647,"Women"
109208,15384,"Men"
109208,15078,"Women"
109350,5948,"Men"
109350,7584,"Women"
109651,932,"Men"
109651,1376,"Women"
109721,82,"Men"
109721,233,"Women"
109785,1843,"Men"
109785,4429,"Women"
109819,13340,"Men"
109819,17406,"Women"
109907,1154,"Men"
109907,2072,"Women"
109934,47,"Men"
109934,294,"Women"
110060,187,"Men"
110060,76,"Women"
110097,2533,"Men"
110097,2901,"Women"
110194,304,"Men"
110194,3,"Women"
110219,286,"Men"
110219,2233,"Women"
110246,4864,"Men"
110246,6104,"Women"
110316,363,"Men"
110316,1511,"Women"
110334,4088,"Men"
110334,5369,"Women"
110361,4128,"Men"
110361,7774,"Women"
110370,427,"Men"
110370,881,"Women"
110398,469,"Men"
110398,726,"Women"
110404,1459,"Men"
110404,971,"Women"
110413,1383,"Men"
110413,1968,"Women"
110422,11396,"Men"
110422,11673,"Women"
110468,1207,"Men"
110468,3323,"Women"
110486,3567,"Men"
110486,6852,"Women"
110495,3290,"Men"
110495,6434,"Women"
110510,7177,"Men"
110510,11315,"Women"
110529,15341,"Men"
110529,12295,"Women"
110538,6526,"Men"
110538,8731,"Women"
110547,5964,"Men"
110547,9218,"Women"
110556,9950,"Men"
110556,14477,"Women"
110565,18958,"Men"
110565,24704,"Women"
110574,5008,"Men"
110574,7318,"Women"
110583,17258,"Men"
110583,24745,"Women"
110592,10065,"Men"
110592,13098,"Women"
110608,17530,"Men"
110608,20783,"Women"
110617,14026,"Men"
110617,17917,"Women"
110635,21140,"Men"
110635,24742,"Women"
110644,16798,"Men"
110644,23267,"Women"
110653,16711,"Men"
110653,20586,"Women"
110662,20430,"Men"
110662,26905,"Women"
110671,12810,"Men"
110671,13574,"Women"
110680,20975,"Men"
110680,23281,"Women"
110699,1100,"Men"
110699,1907,"Women"
110705,11366,"Men"
110705,14767,"Women"
110714,9544,"Men"
110714,10394,"Women"
110778,398,"Men"
110778,747,"Women"
110875,3,"Men"
110875,119,"Women"
111045,53,"Men"
111045,70,"Women"
111054,24,"Men"
111054,74,"Women"
111081,529,"Men"
111081,748,"Women"
111188,686,"Men"
111188,151,"Women"
111391,251,"Men"
111391,399,"Women"
111434,2664,"Men"
111434,3961,"Women"
111461,9860,"Men"
111461,8215,"Women"
111513,0,"Men"
111513,219,"Women"
111638,206,"Men"
111638,553,"Women"
111708,199,"Men"
111708,24,"Women"
111717,226,"Men"
111717,40,"Women"
111726,103,"Men"
111726,27,"Women"
111744,152,"Men"
111744,10,"Women"
111762,103,"Men"
111762,39,"Women"
111799,28,"Men"
111799,143,"Women"
111887,10099,"Men"
111887,11760,"Women"
111896,2197,"Men"
111896,3352,"Women"
111920,6438,"Men"
111920,6404,"Women"
111939,8871,"Men"
111939,13589,"Women"
111948,3770,"Men"
111948,5990,"Women"
111966,262,"Men"
111966,590,"Women"
112075,1328,"Men"
112075,2330,"Women"
112084,51,"Men"
112084,45,"Women"
112127,20,"Men"
112127,20,"Women"
112172,4618,"Men"
112172,5811,"Women"
112181,4,"Men"
112181,110,"Women"
112190,8990,"Men"
112190,10277,"Women"
112251,740,"Men"
112251,1031,"Women"
112260,699,"Men"
112260,694,"Women"
112288,77,"Men"
112288,558,"Women"
112367,29,"Men"
112367,209,"Women"
112385,5150,"Men"
112385,3858,"Women"
112394,336,"Men"
112394,141,"Women"
112455,34,"Men"
112455,75,"Women"
112525,1300,"Men"
112525,2365,"Women"
112561,1267,"Men"
112561,1561,"Women"
112570,37,"Men"
112570,34,"Women"
112686,2088,"Men"
112686,3137,"Women"
112826,2628,"Men"
112826,3910,"Women"
113096,6863,"Men"
113096,8881,"Women"
113111,2980,"Men"
113111,3788,"Women"
113193,5492,"Men"
113193,5791,"Women"
113218,4015,"Men"
113218,4890,"Women"
113236,6680,"Men"
113236,9244,"Women"
113333,9014,"Men"
113333,8411,"Women"
113449,40,"Men"
113449,92,"Women"
113573,5587,"Men"
113573,7274,"Women"
113582,8,"Men"
113582,86,"Women"
113616,26,"Men"
113616,26,"Women"
113634,8356,"Men"
113634,8872,"Women"
113698,557,"Men"
113698,1343,"Women"
113704,53,"Men"
113704,2,"Women"
113856,17539,"Men"
113856,16138,"Women"
113980,10250,"Men"
113980,11414,"Women"
114114,20,"Men"
114114,130,"Women"
114266,4501,"Men"
114266,4835,"Women"
114354,75,"Men"
114354,489,"Women"
114433,897,"Men"
114433,1158,"Women"
114460,13,"Men"
114460,207,"Women"
114549,172,"Men"
114549,743,"Women"
114585,68,"Men"
114585,253,"Women"
114637,4,"Men"
114637,39,"Women"
114716,6762,"Men"
114716,6187,"Women"
114734,51,"Men"
114734,38,"Women"
114761,6,"Men"
114761,63,"Women"
114789,12983,"Men"
114789,15088,"Women"
114813,763,"Men"
114813,2116,"Women"
114840,1002,"Men"
114840,888,"Women"
114859,9186,"Men"
114859,10335,"Women"
114938,2767,"Men"
114938,3316,"Women"
114947,97,"Men"
114947,89,"Women"
115001,5730,"Men"
115001,6345,"Women"
115010,214,"Men"
115010,682,"Women"
115083,1654,"Men"
115083,1444,"Women"
115126,5010,"Men"
115126,5711,"Women"
115214,70,"Men"
115214,80,"Women"
115296,6016,"Men"
115296,8424,"Women"
115357,12,"Men"
115357,152,"Women"
115393,5923,"Men"
115393,5350,"Women"
115409,475,"Men"
115409,476,"Women"
115658,1,"Men"
115658,76,"Women"
115746,227,"Men"
115746,606,"Women"
115755,2762,"Men"
115755,3475,"Women"
115773,224,"Men"
115773,475,"Women"
115861,4054,"Men"
115861,4819,"Women"
115931,637,"Men"
115931,128,"Women"
116226,5,"Men"
116226,97,"Women"
116439,6718,"Men"
116439,6300,"Women"
116563,4,"Men"
116563,153,"Women"
116846,116,"Men"
116846,308,"Women"
117052,3973,"Men"
117052,4823,"Women"
117104,286,"Men"
117104,335,"Women"
117140,1872,"Men"
117140,3149,"Women"
117168,201,"Men"
117168,574,"Women"
117195,2475,"Men"
117195,1565,"Women"
117238,45,"Men"
117238,105,"Women"
117247,4409,"Men"
117247,4919,"Women"
117274,1269,"Men"
117274,769,"Women"
117283,48,"Men"
117283,64,"Women"
117520,361,"Men"
117520,257,"Women"
117557,263,"Men"
117557,173,"Women"
117575,88,"Men"
117575,73,"Women"
117627,639,"Men"
117627,935,"Women"
117636,1439,"Men"
117636,2771,"Women"
117645,11321,"Men"
117645,13664,"Women"
117672,707,"Men"
117672,1301,"Women"
117690,3793,"Men"
117690,5670,"Women"
117706,7820,"Men"
117706,9086,"Women"
117715,1966,"Men"
117715,3405,"Women"
117724,7428,"Men"
117724,5091,"Women"
117733,7076,"Men"
117733,8923,"Women"
117751,1835,"Men"
117751,1025,"Women"
117788,6413,"Men"
117788,8198,"Women"
117803,74,"Men"
117803,130,"Women"
117867,4489,"Men"
117867,6201,"Women"
117894,3656,"Men"
117894,4799,"Women"
117946,4592,"Men"
117946,5587,"Women"
117955,46,"Men"
117955,183,"Women"
118134,1,"Men"
118134,69,"Women"
118143,2,"Men"
118143,88,"Women"
118161,0,"Men"
118161,86,"Women"
118198,483,"Men"
118198,1517,"Women"
118347,2171,"Men"
118347,2667,"Women"
118684,1547,"Men"
118684,2678,"Women"
118693,465,"Men"
118693,345,"Women"
118718,5139,"Men"
118718,7333,"Women"
118772,2625,"Men"
118772,4397,"Women"
118888,321,"Men"
118888,319,"Women"
118912,4771,"Men"
118912,6707,"Women"
118930,3119,"Men"
118930,3790,"Women"
118958,37,"Men"
118958,53,"Women"
118976,7349,"Men"
118976,10909,"Women"
118994,224,"Men"
118994,187,"Women"
119058,152,"Men"
119058,374,"Women"
119067,3346,"Men"
119067,3827,"Women"
119137,6866,"Men"
119137,7717,"Women"
119164,14055,"Men"
119164,15916,"Women"
119173,262,"Men"
119173,2050,"Women"
119216,7169,"Men"
119216,10458,"Women"
119270,548,"Men"
119270,276,"Women"
119331,2020,"Men"
119331,2824,"Women"
119553,380,"Men"
119553,878,"Women"
119605,8524,"Men"
119605,13591,"Women"
119678,1935,"Men"
119678,506,"Women"
119775,148,"Men"
119775,125,"Women"
119951,21,"Men"
119951,186,"Women"
120069,57,"Men"
120069,324,"Women"
120078,97,"Men"
120078,556,"Women"
120087,67,"Men"
120087,227,"Women"
120166,196,"Men"
120166,193,"Women"
120184,67,"Men"
120184,239,"Women"
120254,777,"Men"
120254,1104,"Women"
120290,4661,"Men"
120290,4400,"Women"
120342,8458,"Men"
120342,8638,"Women"
120403,369,"Men"
120403,898,"Women"
120421,3382,"Men"
120421,3979,"Women"
120537,394,"Men"
120537,631,"Women"
120661,18,"Men"
120661,129,"Women"
120698,178,"Men"
120698,887,"Women"
120768,159,"Men"
120768,909,"Women"
120795,50,"Men"
120795,74,"Women"
120838,68,"Men"
120838,33,"Women"
120865,375,"Men"
120865,599,"Women"
120883,2838,"Men"
120883,4106,"Women"
120953,3173,"Men"
120953,660,"Women"
120971,10538,"Men"
120971,9012,"Women"
121044,11416,"Men"
121044,13181,"Women"
121150,2983,"Men"
121150,5993,"Women"
121257,506,"Men"
121257,736,"Women"
121309,1562,"Men"
121309,3195,"Women"
121345,764,"Men"
121345,936,"Women"
121363,1755,"Men"
121363,3029,"Women"
121433,4,"Men"
