"unitid","Year","Weapon Possession (Discipline)","Drug Law Violation","Liquor Law Violation"
"122117","2023",0,0,0
"122205","2023",0,0,0
"122339","2023",0,0,0
"122375","2023",0,0,0
"122384","2023",0,0,0
"122506","2023",0,0,0
"122649","2023",0,0,0
"122685","2023",0,0,0
"122694","2023",0,0,0
"122746","2023",0,0,0
"122791","2023",0,0,0
"123095","2023",0,0,0
"123165","2023",0,6,1
"123280","2023",0,0,0
"123350","2023",0,0,0
"123448","2023",0,0,0
"123457","2023",0,0,0
"123493","2023",0,0,0
"123509","2023",0,0,0
"123554","2023",0,0,7
"123572","2023",6,2,3
"123642","2023",0,0,0
"123651","2023",0,25,15
"123679","2023",0,0,0
"123943","2023",0,0,0
"123952","2023",0,0,0
"123970","2023",0,0,0
"124113","2023",0,0,0
"124283","2023",0,0,0
"124487","2023",0,0,0
"124681","2023",0,0,0
"124706","2023",0,0,0
"124937","2023",0,0,0
"125037","2023",0,0,0
"125082","2023",0,0,0
"125091","2023",0,0,0
"125170","2023",0,0,0
"125231","2023",0,0,0
"125310","2023",0,0,0
"125462","2023",0,0,0
"125471","2023",0,0,0
"125499","2023",1,0,1
"125718","2023",0,0,0
"125763","2023",1,18,30
"125897","2023",0,0,0
"126049","2023",0,0,0
"126076","2023",0,0,0
"126182","2023",0,24,46
"126359","2023",0,0,0
"126580","2023",0,25,66
"126605","2023",0,0,0
"126614","2023",1,297,1180
"126669","2023",0,0,3
"126678","2023",0,85,191
"126687","2023",0,0,0
"126711","2023",0,4,14
"126775","2023",0,11,65
"126784","2023",0,0,0
"126818","2023",2,155,627
"126915","2023",0,0,0
"126951","2023",0,0,0
"127158","2023",0,0,0
"127185","2023",0,37,152
"127273","2023",0,0,0
"127316","2023",0,0,0
"127389","2023",0,19,30
"127565","2023",0,12,2
"127778","2023",0,2,35
"127945","2023",0,0,0
"127954","2023",0,0,0
"128106","2023",1,34,92
"128151","2023",0,0,0
"128179","2023",0,0,0
"128337","2023",0,0,0
"128391","2023",4,17,89
"128498","2023",0,17,18
"128586","2023",0,0,0
"128771","2023",0,26,144
"128780","2023",0,0,0
"128896","2023",0,0,0
"128902","2023",0,77,180
"129002","2023",0,0,0
