"Year","UNITID","Total","Undergraduate","Graduate","First-Time Students"
2014,480338,320,320,NA,46
2014,480347,64,64,NA,17
2014,480356,25,25,NA,8
2014,480480,73,73,NA,1
2014,480499,46,20,26,NA
2014,480514,556,556,NA,111
2014,480523,89,89,NA,17
2014,480532,133,133,NA,43
2014,480550,168,168,NA,52
2014,480569,3182,2066,1116,NA
2014,480657,192,192,NA,4
2014,480693,63,63,NA,48
2014,480727,34,34,NA,22
2014,480736,14,14,NA,6
2014,480754,32,32,NA,9
2014,480781,324,245,79,188
2014,480790,623,NA,623,NA
2014,480815,513,513,NA,84
2014,480824,152,152,NA,143
2014,480833,310,310,NA,306
2014,480842,17,17,NA,2
2014,480879,25,25,NA,2
2014,480888,97,97,NA,52
2014,480897,67,67,NA,6
2014,480903,193,193,NA,165
2014,480912,14,14,NA,2
2014,480921,50,50,NA,10
2014,480930,118,118,NA,13
2014,480967,188,188,NA,41
2014,480976,51,51,NA,17
2014,480985,217,207,10,4
2014,480994,75,75,NA,3
2014,481003,110,110,NA,107
2014,481021,58,58,NA,33
2014,481030,38,NA,38,NA
2014,481049,11,11,NA,NA
2014,481058,88,73,15,17
2014,481076,11,11,NA,NA
2014,481085,236,236,NA,NA
2014,481094,153,NA,153,NA
2014,481100,40,40,NA,14
2014,481119,215,215,NA,104
2014,481128,420,420,NA,5
2014,481137,53,53,NA,23
2014,481146,127,127,NA,33
2014,481155,116,116,NA,54
2014,481164,187,187,NA,71
2014,481173,15,15,NA,12
2014,481182,39,39,NA,3
2014,481191,310,310,NA,244
2014,481207,66,66,NA,14
2014,481225,21,21,NA,3
2014,481234,354,354,NA,213
2014,481243,112,112,NA,15
2014,481252,11,11,NA,2
2014,481261,14,14,NA,6
2014,481270,7,7,NA,3
2014,481289,58,58,NA,1
2014,481298,62,62,NA,31
2014,481304,123,123,NA,36
2014,481313,130,130,NA,58
2014,481322,37,37,NA,2
2014,481331,61,61,NA,20
2014,481340,49,49,NA,1
2014,481359,41,41,NA,32
2014,481368,33,33,NA,29
2014,481377,25,25,NA,13
2014,481386,73,73,NA,3
2014,481395,19,19,NA,9
2014,481401,153,42,111,NA
2014,481410,67,67,NA,11
2014,481429,164,164,NA,71
2014,481438,69,69,NA,23
2014,481447,61,61,NA,20
2014,481456,31,31,NA,2
2014,481465,38,38,NA,NA
2014,481474,40,40,NA,4
2014,481483,208,208,NA,124
2014,481492,36,36,NA,31
2014,481508,176,176,NA,25
2014,481517,63,63,NA,12
2014,481526,114,114,NA,7
2014,481544,79,79,NA,NA
2014,481553,77,77,NA,12
2014,481562,72,72,NA,17
2014,481571,14,14,NA,8
2014,481599,142,142,NA,35
2014,481614,229,229,NA,55
2014,481623,228,228,NA,54
2014,481632,411,411,NA,140
2014,481669,166,166,NA,63
2014,481678,78,78,NA,26
2014,481720,342,296,46,18
2014,481739,60,60,NA,18
2014,481748,178,178,NA,41
2014,481766,177,177,NA,11
2014,481827,92,92,NA,NA
2014,481845,127,127,NA,44
2014,481854,516,516,NA,56
2014,481863,148,148,NA,53
2014,481890,54,54,NA,24
2014,481906,103,103,NA,59
2014,481915,194,194,NA,35
2014,481942,350,350,NA,91
2014,481960,224,224,NA,85
2014,481988,452,452,NA,63
2014,482015,512,512,NA,420
2014,482024,89,89,NA,13
2014,482033,127,127,NA,40
2014,482060,336,336,NA,99
2014,482097,257,257,NA,125
2014,482103,70,70,NA,12
2014,482149,7988,5225,2763,740
2014,482158,7927,7927,NA,1218
2014,482167,54,54,NA,5
2014,482176,171,171,NA,45
2014,482185,77,77,NA,36
2014,482194,29,29,NA,7
2014,482200,89,89,NA,27
2014,482228,94,82,12,9
2014,482246,25,25,NA,21
2014,482255,116,116,NA,26
2014,482264,377,377,NA,19
2014,482273,203,203,NA,17
2014,482307,121,121,NA,NA
2014,482316,213,213,NA,NA
2014,482325,215,215,NA,2
2014,482334,242,242,NA,NA
2014,482343,155,155,NA,NA
2014,482352,75,75,NA,NA
2014,482361,296,296,NA,NA
2014,482370,199,199,NA,NA
2014,482389,64,64,NA,NA
2014,482398,455,455,NA,85
2014,482413,2026,1302,724,43
2014,482422,1318,994,324,44
2014,482431,7932,6467,1465,184
2014,482440,964,750,214,10
2014,482459,2770,1968,802,48
2014,482468,3177,2326,851,42
2014,482477,24220,18264,5956,472
2014,482486,470,273,197,6
2014,482501,44,17,27,NA
2014,482510,289,185,104,4
2014,482529,370,232,138,1
2014,482538,891,618,273,11
2014,482547,414,292,122,6
2014,482556,1546,1316,230,102
2014,482565,619,414,205,8
2014,482574,2971,2369,602,85
2014,482583,197,141,56,1
2014,482592,99,60,39,2
2014,482608,1180,904,276,39
2014,482617,446,272,174,3
2014,482635,2855,1987,868,18
2014,482644,38,26,12,NA
2014,482653,1239,695,544,12
2014,482662,564,373,191,4
2014,482671,248,137,111,2
2014,482680,16064,15507,557,2904
2014,482699,2611,2611,NA,819
2014,482705,10102,3689,6413,NA
2014,482936,540,518,22,389
2014,482954,432,432,NA,62
2014,482963,323,323,NA,50
2014,482981,113,113,NA,100
2014,482990,336,336,NA,71
2014,483009,104,104,NA,45
2014,483018,238,238,NA,59
2014,483036,2316,1722,594,NA
2014,483045,7625,7625,NA,627
2014,483054,38,38,NA,4
2014,483106,118,118,NA,26
2014,483124,13938,11342,2596,1150
2014,483212,3081,3081,NA,653
2014,483221,157,157,NA,75
2014,483230,107,107,NA,38
2014,483258,21,21,NA,9
2014,483276,41,41,NA,15
2014,483285,22,22,NA,NA
2014,483319,167,167,NA,73
2014,483328,114,114,NA,15
2014,483337,100,100,NA,12
2014,483346,29,29,NA,5
2014,483355,245,245,NA,28
2014,483364,187,187,NA,22
2014,483373,53,53,NA,15
2014,483382,141,141,NA,90
2014,483425,29,29,NA,6
2014,483443,92,92,NA,NA
2014,483470,67,67,NA,16
2014,483504,232,232,NA,55
2014,483513,21,21,NA,4
2014,483522,50,50,NA,11
2014,483568,70,70,NA,29
2014,483595,2,NA,2,NA
2014,483610,86,86,NA,85
2014,483629,117,117,NA,116
2014,483638,358,358,NA,1
2014,483647,57,57,NA,43
2014,483665,33,33,NA,8
2014,483674,70,70,NA,67
2014,483683,28,28,NA,7
2014,483692,92,92,NA,59
2014,483708,38,38,NA,3
2014,483717,58,58,NA,4
2014,483726,35,35,NA,9
2014,483735,54,54,NA,19
2014,483744,60,60,NA,21
2014,483753,12,12,NA,8
2014,483762,397,397,NA,211
2014,483771,13,13,NA,3
2014,483780,173,39,134,15
2014,483799,40,40,NA,4
2014,483805,136,136,NA,52
2014,483814,246,246,NA,1
2014,483823,60,60,NA,54
2014,483841,12,12,NA,10
2014,483850,36,36,NA,NA
2014,483869,29,29,NA,23
2014,483878,95,95,NA,21
2014,483887,37,37,NA,22
2014,483896,88,88,NA,16
2014,483902,57,57,NA,19
2014,483911,7,7,NA,NA
2014,483920,43,43,NA,18
2014,483939,16,16,NA,2
2014,483948,24,24,NA,4
2014,483957,30,30,NA,26
2014,483966,28,28,NA,27
2014,483975,316,NA,316,NA
2014,483984,63,63,NA,8
2014,484002,211,211,NA,20
2014,484011,93,93,NA,38
2014,484020,39,39,NA,4
2014,484039,40,40,NA,1
2014,484048,10,10,NA,6
2014,484057,124,124,NA,28
2014,484066,226,226,NA,85
2014,484075,18,18,NA,6
2014,484084,48,48,NA,10
2014,484093,33,33,NA,2
2014,484109,35,35,NA,13
2014,484118,25,25,NA,3
2014,484127,89,89,NA,40
2014,484136,30,30,NA,3
2014,484145,114,114,NA,59
2014,484154,50,50,NA,15
2014,484163,91,91,NA,21
2014,484172,36,36,NA,28
2014,484181,281,281,NA,112
2014,484190,15,15,NA,3
2014,484206,19,19,NA,1
2014,484242,44,44,NA,21
2014,484288,287,NA,287,NA
2014,484303,74,9,65,1
2014,484321,138,138,NA,18
2014,484330,77,77,NA,23
2014,484349,179,179,NA,67
2014,484358,193,193,NA,116
2014,484367,98,98,NA,38
2014,484376,191,191,NA,42
2014,484385,328,328,NA,71
2014,484394,136,136,NA,55
2014,484473,891,891,NA,8
2014,484598,26,26,NA,13
2014,484604,160,160,NA,106
2014,484613,195059,155872,39187,10852
2014,484622,584,551,33,NA
2014,484631,23257,19688,3569,188
2014,484640,1674,1351,323,1
2014,484668,3707,3059,648,20
2014,484677,2837,2523,314,42
2014,484686,1028,865,163,8
2014,484695,1361,1126,235,33
2014,484701,1020,952,68,3
2014,484710,2090,1709,381,28
2014,484729,772,684,88,4
2014,484738,471,428,43,NA
2014,484747,2485,2252,233,23
2014,484756,5254,4486,768,59
2014,484765,1357,1115,242,4
2014,484783,669,639,30,18
2014,484817,61,61,NA,6
2014,484826,95,95,NA,39
2014,484835,210,210,NA,60
2014,484844,28,28,NA,16
2014,484862,229,NA,229,NA
2014,484871,104,104,NA,34
2014,484880,49,49,NA,47
2014,484899,176,176,NA,43
2014,484905,2575,2251,324,115
2014,484923,22,22,NA,4
2014,484932,2344,2344,NA,281
2014,484950,50,50,NA,7
2014,484978,230,230,NA,73
2014,484996,90,90,NA,82
2014,485014,53,53,NA,16
2014,485032,114,114,NA,11
2014,485041,15,15,NA,4
2014,485078,135,134,1,3
2014,485087,40,40,NA,36
2014,485111,7221,7221,NA,1557
2014,485120,206,206,NA,1
2014,485139,118,118,NA,38
2014,485166,50,50,NA,25
2014,485184,19,19,NA,12
2014,485193,7,7,NA,6
2014,485236,12,12,NA,1
2014,485245,26,26,NA,8
2014,485254,302,302,NA,237
2014,485263,912,912,NA,92
2014,485272,46,46,NA,1
2014,485281,255,255,NA,1
2014,485290,358,NA,358,NA
2014,485306,53,53,NA,7
2014,485342,181,181,NA,181
2014,485351,461,461,NA,236
2014,485379,55,55,NA,3
2014,485388,75,75,NA,19
2014,485397,113,113,NA,62
2014,485412,67,67,NA,13
2014,485421,94,94,NA,25
2014,485458,2431,2431,NA,110
2015,100654,5627,4503,1124,1222
2015,100663,18333,11511,6822,1593
2015,100690,627,308,319,16
2015,100706,7866,6013,1853,1027
2015,100724,5383,4764,619,1008
2015,100751,37098,31958,5140,7176
2015,100760,1787,1787,NA,392
2015,100812,3041,3041,NA,NA
2015,100830,4919,4257,662,568
2015,100858,27287,21786,5501,4854
2015,100937,1346,1346,NA,441
2015,101028,1665,1665,NA,312
2015,101073,487,487,NA,101
2015,101116,581,460,121,31
2015,101143,1882,1882,NA,293
2015,101161,4580,4580,NA,1078
2015,101189,3262,2564,698,280
2015,101240,5018,5018,NA,947
2015,101277,91,91,NA,52
2015,101286,4769,4769,NA,746
2015,101295,5418,5418,NA,875
2015,101301,1591,1591,NA,262
2015,101365,370,361,9,24
2015,101435,1166,1166,NA,252
2015,101453,92,58,34,6
2015,101462,996,996,NA,152
2015,101471,422,422,NA,198
2015,101480,8314,7383,931,1021
2015,101499,1098,1098,NA,319
2015,101505,8821,8821,NA,1063
2015,101514,9985,9985,NA,1189
2015,101541,374,374,NA,63
2015,101569,3172,3172,NA,620
2015,101587,4032,1915,2117,417
2015,101602,1732,1732,NA,445
2015,101648,457,457,NA,275
2015,101675,1873,1873,NA,423
2015,101693,1566,1442,124,287
2015,101709,3031,2564,467,501
2015,101736,3700,3700,NA,606
2015,101879,7078,6092,986,1159
2015,101897,2700,2700,NA,477
2015,101912,1749,1703,46,338
2015,101949,1386,1386,NA,384
2015,101958,25,25,NA,NA
2015,101994,571,571,NA,67
2015,102030,3111,3111,NA,624
2015,102049,5206,3168,2038,826
2015,102058,333,314,19,103
2015,102067,4834,4834,NA,707
2015,102076,2456,2456,NA,589
2015,102094,16211,11524,4687,2084
2015,102234,1479,1352,127,416
2015,102261,151,151,NA,9
2015,102270,895,895,NA,244
2015,102298,989,989,NA,320
2015,102313,1401,1401,NA,248
2015,102368,17765,14190,3575,1699
2015,102377,2996,2486,510,595
2015,102395,319,129,190,NA
2015,102429,3619,3619,NA,600
2015,102553,16798,15917,881,1339
2015,102580,33,33,NA,5
2015,102614,8638,7533,1105,697
2015,102632,2800,2475,325,145
2015,102669,522,288,234,39
2015,102711,970,970,NA,177
2015,102845,1945,1935,10,579
2015,103501,378,378,NA,233
2015,103723,23,23,NA,NA
2015,103741,115,115,NA,23
2015,103778,416,NA,416,NA
2015,103787,99,99,NA,8
2015,103811,324,324,NA,101
2015,103893,676,676,NA,139
2015,103909,633,633,NA,78
2015,103927,357,357,NA,91
2015,103945,137,137,NA,13
2015,103954,33,33,NA,2
2015,103963,754,754,NA,404
2015,104090,1379,1309,70,332
2015,104151,51984,41828,10156,8278
2015,104160,7514,7514,NA,836
2015,104179,42595,33331,9264,6973
2015,104188,139,131,8,44
2015,104346,5849,5849,NA,529
2015,104364,450,450,NA,43
2015,104391,63,63,NA,61
2015,104425,4437,4437,NA,541
2015,104434,44,44,NA,20
2015,104443,66,66,NA,17
2015,104504,133,133,NA,23
2015,104568,333,333,NA,165
2015,104577,6320,6320,NA,417
2015,104586,2265,2205,60,579
2015,104665,17,NA,17,NA
2015,104708,19871,19871,NA,1801
2015,104717,69444,43295,26149,2467
2015,104911,136,136,NA,23
2015,105145,5637,5637,NA,293
2015,105154,21491,21491,NA,1587
2015,105163,342,342,NA,33
2015,105172,379,379,NA,51
2015,105206,4360,4360,NA,139
2015,105215,1349,1349,NA,173
2015,105297,1490,1490,NA,115
2015,105330,29021,25115,3906,4663
2015,105349,3354,3354,NA,45
2015,105367,567,317,250,NA
2015,105428,11865,11865,NA,712
2015,105482,111,111,NA,20
2015,105525,26880,26880,NA,2341
2015,105534,2023,2023,NA,549
2015,105543,913,913,NA,276
2015,105589,819,456,363,35
2015,105659,688,688,NA,161
2015,105668,20533,20533,NA,84
2015,105677,32,32,NA,15
2015,105701,37,37,NA,7
2015,105747,10083,10083,NA,722
2015,105792,4083,4083,NA,393
2015,105899,779,779,NA,121
2015,105987,279,279,NA,83
2015,106041,2100,2100,NA,428
2015,106102,1301,914,387,10
2015,106111,155,155,NA,60
2015,106148,7385,7385,NA,501
2015,106245,11891,9575,2316,815
2015,106263,3021,774,2247,NA
2015,106281,21,21,NA,9
2015,106306,990,990,NA,370
2015,106315,74,74,NA,15
2015,106324,23,23,NA,15
2015,106342,715,715,NA,211
2015,106351,176,176,NA,2
2015,106360,29,29,NA,9
2015,106397,26754,22159,4595,4871
2015,106412,2658,2545,113,671
2015,106449,3935,3935,NA,573
2015,106458,13410,9592,3818,1542
2015,106467,12054,11191,863,1938
2015,106485,3643,3428,215,512
2015,106494,54,54,NA,8
2015,106546,663,663,NA,5
2015,106625,1739,1739,NA,259
2015,106704,11754,9887,1867,1986
2015,106713,881,881,NA,116
2015,106795,1642,1642,NA,192
2015,106810,226,226,NA,53
2015,106829,205,205,NA,67
2015,106883,1200,1200,NA,202
2015,106892,149,149,NA,36
2015,106908,315,315,NA,40
2015,106980,3014,3014,NA,387
2015,106999,1387,1387,NA,266
2015,107044,6009,4450,1559,988
2015,107071,3527,3099,428,758
2015,107080,1338,1327,11,395
2015,107099,38,38,NA,11
2015,107123,67,67,NA,NA
2015,107141,2781,2126,655,358
2015,107211,22,22,NA,4
2015,107220,248,248,NA,102
2015,107293,71,71,NA,12
2015,107318,1896,1896,NA,198
2015,107327,1361,1361,NA,199
2015,107363,38,38,NA,10
2015,107442,59,59,NA,27
2015,107460,1796,1796,NA,378
2015,107488,186,186,NA,172
2015,107512,1538,1538,NA,412
2015,107521,1346,1346,NA,118
2015,107549,1108,1108,NA,204
2015,107558,651,651,NA,210
2015,107585,2042,2042,NA,482
2015,107600,584,584,NA,170
2015,107619,1661,1661,NA,141
2015,107637,1548,1548,NA,183
2015,107655,41,41,NA,12
2015,107664,7641,7641,NA,775
2015,107725,1406,1406,NA,187
2015,107743,929,929,NA,129
2015,107789,108,108,NA,18
2015,107831,52,52,NA,3
2015,107840,236,236,NA,23
2015,107877,541,541,NA,128
2015,107974,1558,1558,NA,176
2015,107983,4095,3123,972,786
2015,107992,1650,1650,NA,160
2015,108065,23,23,NA,12
2015,108092,6720,6714,6,1029
2015,108232,13800,9117,4683,607
2015,108250,415,415,NA,42
2015,108269,136,NA,136,NA
2015,108348,34,34,NA,15
2015,108649,135,135,NA,67
2015,108667,6283,6283,NA,243
2015,108807,10949,10949,NA,865
2015,108852,295,295,NA,144
2015,108861,73,NA,73,NA
2015,108870,328,NA,328,NA
2015,108977,79,79,NA,7
2015,109040,1543,1543,NA,147
2015,109086,46,12,34,1
2015,109208,29381,29381,NA,1316
2015,109350,14399,14399,NA,956
2015,109651,2133,1915,218,181
2015,109721,377,377,NA,371
2015,109730,76,76,NA,61
2015,109785,9975,5883,4092,1198
2015,109819,20448,20448,NA,1947
2015,109907,3108,3108,NA,244
2015,109934,164,164,NA,24
2015,110060,364,279,85,59
2015,110097,6227,4230,1997,827
2015,110185,371,334,37,37
2015,110194,46,46,NA,36
2015,110219,1417,1417,NA,363
2015,110246,11669,11669,NA,1231
2015,110307,226,NA,226,NA
2015,110316,1488,102,1386,NA
2015,110334,13086,13086,NA,1004
2015,110361,8541,6630,1911,1076
2015,110370,1975,1520,455,241
2015,110398,950,NA,950,NA
2015,110404,2255,1001,1254,241
2015,110413,4126,2810,1316,595
2015,110422,20944,20049,895,4928
2015,110468,3509,944,2565,12
2015,110486,9228,8108,1120,1453
2015,110495,9282,8099,1183,1220
2015,110510,20024,17762,2262,2944
2015,110529,23717,22157,1560,2656
2015,110538,17220,16127,1093,2665
2015,110547,14635,12620,2015,1266
2015,110556,24136,21482,2654,3537
2015,110565,38948,33144,5804,4287
2015,110574,15528,13058,2470,1730
2015,110583,37446,32195,5251,4399
2015,110592,27680,23458,4222,3688
2015,110608,41548,37188,4360,5517
2015,110617,30284,27723,2561,3648
2015,110635,38189,27496,10693,5510
2015,110644,35186,28257,6929,5304
2015,110653,30836,25256,5580,5746
2015,110662,41908,29585,12323,5671
2015,110671,21385,18607,2778,4033
2015,110680,32906,26590,6316,5286
2015,110699,3107,NA,3107,NA
2015,110705,23497,20607,2890,4459
2015,110714,17868,16231,1637,3607
2015,110778,296,10,286,NA
2015,110875,54,54,NA,22
2015,110918,18,18,NA,2
2015,111009,380,380,NA,37
2015,111054,210,210,NA,32
2015,111081,1448,949,499,193
2015,111188,1075,1075,NA,220
2015,111391,628,NA,628,NA
2015,111434,6477,6477,NA,315
2015,111461,18437,18437,NA,1555
2015,111513,153,153,NA,37
2015,111638,356,356,NA,9
2015,111708,307,307,NA,46
2015,111717,431,431,NA,104
2015,111726,380,380,NA,96
2015,111744,189,189,NA,60
2015,111762,163,163,NA,33
2015,111799,93,93,NA,17
2015,111887,22043,22043,NA,1647
2015,111896,4735,4735,NA,197
2015,111920,13457,13457,NA,971
2015,111939,21054,21054,NA,1442
2015,111948,8305,6363,1942,1419
2015,111966,533,89,444,NA
2015,112075,4505,1939,2566,334
2015,112084,917,910,7,90
2015,112127,80,NA,80,NA
2015,112172,12999,12999,NA,1303
2015,112181,81,81,NA,28
2015,112190,23391,23391,NA,1441
2015,112251,2136,NA,2136,NA
2015,112260,1349,1328,21,343
2015,112288,354,354,NA,118
2015,112367,612,612,NA,228
2015,112385,11525,11525,NA,214
2015,112394,633,633,NA,106
2015,112446,399,346,53,39
2015,112455,35,35,NA,10
2015,112525,3876,NA,3876,NA
2015,112561,2424,2424,NA,228
2015,112570,326,326,NA,77
2015,112686,7427,7427,NA,486
2015,112826,6355,6355,NA,269
2015,113096,14398,14398,NA,893
2015,113111,5985,5985,NA,460
2015,113193,9600,9600,NA,976
2015,113218,9000,9000,NA,559
2015,113236,16187,16187,NA,1210
2015,113333,22512,22512,NA,2778
2015,113449,186,186,NA,38
2015,113537,38,15,23,NA
2015,113573,10466,10466,NA,936
2015,113582,148,148,NA,7
2015,113634,19694,19694,NA,1411
2015,113698,1863,1383,480,256
2015,113704,57,NA,57,NA
2015,113856,37188,37188,NA,1691
2015,113980,24001,24001,NA,2294
2015,114044,462,462,NA,140
2015,114114,233,NA,233,NA
2015,114123,442,378,64,163
2015,114266,8691,8691,NA,627
2015,114354,2814,2814,NA,468
2015,114390,395,395,NA,67
2015,114415,92,92,NA,52
2015,114433,1842,1842,NA,205
2015,114460,256,256,NA,58
2015,114549,1168,NA,1168,NA
2015,114585,332,NA,332,NA
2015,114637,22,22,NA,8
2015,114716,15448,15448,NA,1212
2015,114734,48,NA,48,NA
2015,114761,59,59,NA,16
2015,114789,22697,22697,NA,2021
2015,114813,3342,2547,795,165
2015,114840,2532,NA,2532,NA
2015,114859,24613,24613,NA,1974
2015,114938,6119,6119,NA,419
2015,114947,218,218,NA,96
2015,115001,15588,15588,NA,1593
2015,115010,287,287,NA,67
2015,115083,2735,458,2277,1
2015,115126,12093,12093,NA,1152
2015,115214,208,NA,208,NA
2015,115296,18159,18159,NA,1595
2015,115357,30,30,NA,8
2015,115393,11176,11176,NA,904
2015,115409,825,825,NA,214
2015,115658,132,132,NA,1
2015,115728,1049,656,393,119
2015,115746,939,NA,939,NA
2015,115755,8790,8259,531,1400
2015,115773,565,438,127,14
2015,115861,7811,7811,NA,1063
2015,115931,408,408,NA,241
2015,116226,201,198,3,6
2015,116350,243,243,NA,64
2015,116439,13183,13183,NA,1505
2015,116466,700,700,NA,51
2015,116475,420,420,NA,31
2015,116484,666,666,NA,62
2015,116563,118,118,NA,26
2015,116712,1111,221,890,NA
2015,116846,174,73,101,8
2015,117052,9836,9836,NA,1045
2015,117104,612,550,62,90
2015,117113,1382,1382,NA,156
2015,117140,8334,5214,3120,722
2015,117168,607,571,36,80
2015,117195,2437,2437,NA,181
2015,117238,97,97,NA,17
2015,117247,11667,11667,NA,416
2015,117274,2241,2241,NA,192
2015,117520,565,NA,565,NA
2015,117557,574,165,409,33
2015,117575,235,60,175,NA
2015,117627,2476,2103,373,428
2015,117636,4490,1192,3298,NA
2015,117645,24478,24478,NA,2500
2015,117672,1044,521,523,1
2015,117690,10115,10115,NA,574
2015,117706,20767,20767,NA,1254
2015,117715,6826,6826,NA,259
2015,117724,14650,14650,NA,543
2015,117733,18838,18838,NA,678
2015,117751,1713,1247,466,201
2015,117788,18825,18825,NA,668
2015,117803,196,196,NA,NA
2015,117867,10188,10188,NA,597
2015,117894,8861,8861,NA,753
2015,117928,791,790,1,99
2015,117946,9392,6259,3133,1354
2015,117955,176,176,NA,54
2015,118134,51,51,NA,5
2015,118143,67,67,NA,5
2015,118161,129,129,NA,20
2015,118189,120,120,NA,93
2015,118198,894,894,NA,215
2015,118259,473,473,NA,60
2015,118277,1173,1173,NA,96
2015,118286,754,754,NA,137
2015,118347,5490,5490,NA,276
2015,118541,1099,1059,40,256
2015,118684,4290,4290,NA,229
2015,118693,787,787,NA,148
2015,118718,10389,10389,NA,1105
2015,118772,6647,6647,NA,208
2015,118888,1397,859,538,139
2015,118912,15062,15062,NA,1321
2015,118930,8576,8576,NA,407
2015,118958,33,33,NA,7
2015,118967,828,828,NA,98
2015,118976,17739,17739,NA,1424
2015,118994,123,123,NA,2
2015,119058,733,17,716,NA
2015,119067,8277,8277,NA,570
2015,119137,14027,14027,NA,1688
2015,119164,28991,28991,NA,2577
2015,119173,3431,2787,644,531
2015,119216,15010,15010,NA,1291
2015,119234,51,51,NA,7
2015,119270,1118,1118,NA,237
2015,119331,6257,6257,NA,547
2015,119553,675,675,NA,154
2015,119605,17488,8850,8638,70
2015,119678,2665,NA,2665,NA
2015,119775,515,408,107,55
2015,119845,152,152,NA,27
2015,119951,228,228,NA,40
2015,120069,265,265,NA,86
2015,120078,560,560,NA,157
2015,120087,219,219,NA,38
2015,120184,1855,1097,758,172
2015,120254,2023,2021,2,517
2015,120272,48,48,NA,7
2015,120290,10193,10193,NA,764
2015,120342,22140,22140,NA,2587
2015,120403,1160,1102,58,191
2015,120421,7006,7006,NA,560
2015,120537,1302,875,427,112
2015,120661,647,647,NA,145
2015,120698,1131,168,963,NA
2015,120740,52,NA,52,NA
2015,120768,1267,543,724,NA
2015,120795,159,NA,159,NA
2015,120838,170,15,155,2
2015,120865,1555,1550,5,250
2015,120883,6281,3735,2546,934
2015,120953,4023,4023,NA,75
2015,120971,23482,23482,NA,2017
2015,121017,62,62,NA,10
2015,121044,27050,27050,NA,3261
2015,121150,7632,3533,4099,745
2015,121257,1067,1067,NA,267
2015,121275,255,255,NA,57
2015,121309,3663,2767,896,599
2015,121345,1663,1663,NA,400
2015,121363,4074,4074,NA,521
2015,121433,108,108,NA,21
2015,121619,29808,29808,NA,1437
2015,121628,107,NA,107,NA
2015,121637,53,53,NA,12
2015,121691,5215,3493,1722,525
2015,121707,4514,4514,NA,189
2015,121859,108,108,NA,22
2015,121868,88,88,NA,24
2015,121886,18367,18367,NA,769
2015,121901,19086,19086,NA,1590
2015,121983,330,111,219,1
2015,121992,193,193,NA,154
2015,122117,193,75,118,NA
2015,122126,72,24,48,NA
2015,122180,22690,22690,NA,1224
2015,122205,19552,19552,NA,1454
2015,122296,1593,556,1037,NA
2015,122339,16520,16520,NA,962
2015,122366,132,132,NA,39
2015,122375,24208,24208,NA,1474
2015,122384,13008,13008,NA,638
2015,122409,34254,29253,5001,4955
2015,122436,8251,5647,2604,1103
2015,122454,599,412,187,85
2015,122506,379,158,221,34
2015,122597,30256,26906,3350,4081
2015,122603,156,NA,156,NA
2015,122612,10797,6782,4015,1265
2015,122649,184,NA,184,NA
2015,122658,17895,17895,NA,1585
2015,122685,5605,5605,NA,754
2015,122728,1161,1097,64,146
2015,122746,8445,8445,NA,427
2015,122755,32773,26822,5951,3329
2015,122791,8889,8889,NA,802
2015,122834,487,487,NA,43
2015,122852,166,166,NA,10
2015,122889,17920,17920,NA,2117
2015,122931,8680,5385,3295,1260
2015,122977,30615,30615,NA,3628
2015,123013,22411,22411,NA,1411
2015,123095,558,NA,558,NA
2015,123165,989,973,16,277
2015,123217,11266,11266,NA,1539
2015,123280,50,43,7,6
2015,123299,8620,8620,NA,579
2015,123341,18218,18218,NA,1632
2015,123350,151,151,NA,22
2015,123396,79,79,NA,3
2015,123448,189,NA,189,NA
2015,123457,1162,963,199,88
2015,123484,2203,2203,NA,179
2015,123493,525,525,NA,425
2015,123509,9681,9681,NA,501
2015,123527,13136,13136,NA,941
2015,123554,4030,2940,1090,650
2015,123563,9964,9964,NA,710
2015,123572,9408,8654,754,1866
2015,123633,672,66,606,NA
2015,123642,315,315,NA,40
2015,123651,2184,1881,303,373
2015,123679,639,639,NA,186
2015,123800,18716,18716,NA,1656
2015,123855,116,NA,116,NA
2015,123916,85,NA,85,NA
2015,123943,460,NA,460,NA
2015,123952,502,255,247,31
2015,123961,43401,18810,24591,2948
2015,123970,1031,NA,1031,NA
2015,124113,4449,4449,NA,292
2015,124283,291,NA,291,NA
2015,124292,377,377,NA,79
2015,124487,186,167,19,5
2015,124681,624,624,NA,132
2015,124706,561,561,NA,184
2015,124779,21,21,NA,4
2015,124937,466,466,NA,129
2015,125028,12989,12989,NA,1161
2015,125037,101,NA,101,NA
2015,125082,98,98,NA,19
2015,125091,11669,11669,NA,1136
2015,125170,7164,7164,NA,449
2015,125231,52799,8239,44560,NA
2015,125310,27,27,NA,1
2015,125462,2643,2643,NA,278
2015,125471,11141,11141,NA,514
2015,125499,8799,8799,NA,640
2015,125532,1272,1272,NA,49
2015,125718,138,NA,138,NA
2015,125727,1297,1297,NA,334
2015,125763,2187,1648,539,445
2015,125897,1457,1245,212,120
2015,126012,451,NA,451,NA
2015,126030,339,NA,339,NA
2015,126049,700,NA,700,NA
2015,126076,161,161,NA,61
2015,126119,6869,6869,NA,660
2015,126164,77,77,NA,13
2015,126182,3404,2110,1294,453
2015,126207,5298,5298,NA,315
2015,126289,10004,10004,NA,385
2015,126359,500,500,NA,54
2015,126401,209,209,NA,19
2015,126562,23671,14036,9635,1278
2015,126580,11988,9970,2018,1581
2015,126605,450,450,NA,48
2015,126614,33056,27142,5914,6184
