"Year","UNITID","Total","Undergraduate","Graduate","First-Time Students"
2014,108348,14,14,NA,13
2014,108649,253,253,NA,62
2014,108667,5796,5796,NA,205
2014,108807,11047,11047,NA,870
2014,108852,280,280,NA,146
2014,108861,53,NA,53,NA
2014,108870,324,NA,324,NA
2014,108977,97,97,NA,13
2014,109040,1613,1613,NA,137
2014,109086,48,15,33,NA
2014,109208,29133,29133,NA,1340
2014,109350,14578,14578,NA,973
2014,109651,2045,1824,221,174
2014,109721,361,361,NA,353
2014,109730,119,119,NA,88
2014,109785,9972,5918,4054,1039
2014,109819,18698,18698,NA,1718
2014,109907,1859,1859,NA,109
2014,109934,177,177,NA,18
2014,110060,331,272,59,62
2014,110097,6358,4373,1985,943
2014,110185,437,415,22,44
2014,110194,46,46,NA,36
2014,110219,1358,1324,34,343
2014,110246,12161,12161,NA,1290
2014,110307,222,NA,222,NA
2014,110316,1251,104,1147,NA
2014,110334,13594,13594,NA,1034
2014,110361,7957,6435,1522,1061
2014,110370,1998,1542,456,273
2014,110398,1003,NA,1003,NA
2014,110404,2209,983,1226,226
2014,110413,4160,2808,1352,556
2014,110422,20186,19246,940,4648
2014,110468,3957,975,2982,16
2014,110486,8720,7634,1086,1402
2014,110495,9045,7847,1198,1198
2014,110510,18952,16743,2209,2654
2014,110529,23966,22395,1571,3555
2014,110538,17287,16079,1208,2907
2014,110547,14687,12682,2005,1286
2014,110556,23179,20511,2668,3387
2014,110565,38128,32726,5402,4243
2014,110574,14823,12340,2483,1431
2014,110583,36809,31642,5167,4237
2014,110592,24488,20681,3807,3141
2014,110608,40131,35616,4515,5450
2014,110617,29349,26739,2610,3473
2014,110635,37565,27126,10439,5431
2014,110644,34508,27565,6943,5331
2014,110653,30051,24489,5562,5426
2014,110662,41845,29633,12212,5753
2014,110671,21498,18790,2708,4273
2014,110680,30709,24810,5899,4913
2014,110699,3170,NA,3170,NA
2014,110705,23051,20238,2813,4725
2014,110714,17866,16277,1589,4019
2014,110778,314,16,298,NA
2014,110875,93,93,NA,18
2014,110918,20,20,NA,NA
2014,111009,442,442,NA,47
2014,111054,195,195,NA,25
2014,111081,1471,970,501,187
2014,111188,1047,1047,NA,206
2014,111391,781,NA,781,NA
2014,111434,6498,6498,NA,247
2014,111461,17148,17148,NA,1609
2014,111513,157,157,NA,36
2014,111638,446,446,NA,17
2014,111708,253,253,NA,50
2014,111717,327,327,NA,87
2014,111726,260,260,NA,99
2014,111744,116,116,NA,29
2014,111762,96,96,NA,36
2014,111799,54,54,NA,21
2014,111887,21774,21774,NA,1438
2014,111896,4731,4731,NA,186
2014,111920,13047,13047,NA,899
2014,111939,19557,19557,NA,1190
2014,111948,8132,6281,1851,1418
2014,111966,481,69,412,1
2014,112075,4311,1918,2393,352
2014,112084,966,940,26,136
2014,112127,64,NA,64,NA
2014,112172,12780,12780,NA,1194
2014,112181,105,105,NA,28
2014,112190,23610,23610,NA,1207
2014,112251,2160,NA,2160,NA
2014,112260,1324,1301,23,327
2014,112288,352,352,NA,107
2014,112367,617,617,NA,248
2014,112385,11313,11313,NA,221
2014,112394,611,611,NA,138
2014,112446,796,512,284,54
2014,112455,36,36,NA,5
2014,112525,3842,NA,3842,NA
2014,112561,2397,2397,NA,204
2014,112570,308,308,NA,56
2014,112686,7611,7611,NA,501
2014,112826,6697,6697,NA,276
2014,113096,14467,14467,NA,898
2014,113111,5932,5932,NA,574
2014,113193,9221,9221,NA,870
2014,113218,8644,8644,NA,540
2014,113236,15816,15816,NA,1085
2014,113333,23104,23104,NA,2772
2014,113397,1142,1142,NA,204
2014,113449,220,220,NA,26
2014,113537,42,24,18,NA
2014,113573,9719,9719,NA,787
2014,113582,171,171,NA,6
2014,113634,20089,20089,NA,1363
2014,113698,2001,1485,516,262
2014,113704,80,NA,80,NA
2014,113856,36012,36012,NA,1667
2014,113908,547,547,NA,124
2014,113980,24207,24207,NA,2466
2014,114044,374,374,NA,149
2014,114071,426,426,NA,74
2014,114080,258,258,NA,59
2014,114114,222,NA,222,NA
2014,114123,417,417,NA,299
2014,114266,9133,9133,NA,596
2014,114354,3142,3142,NA,434
2014,114390,527,527,NA,96
2014,114415,156,156,NA,103
2014,114433,1715,1715,NA,266
2014,114460,283,283,NA,62
2014,114549,1201,NA,1201,NA
2014,114585,371,NA,371,NA
2014,114637,37,37,NA,2
2014,114716,15030,15030,NA,1173
2014,114734,32,NA,32,NA
2014,114761,73,73,NA,22
2014,114789,22307,22307,NA,1959
2014,114813,3458,2633,825,199
2014,114840,2550,NA,2550,NA
2014,114859,25051,25051,NA,2133
2014,114938,5531,5531,NA,472
2014,114947,215,215,NA,104
2014,115001,15112,15112,NA,1401
2014,115010,346,346,NA,89
2014,115083,2909,489,2420,NA
2014,115126,12394,12394,NA,1265
2014,115214,237,NA,237,NA
2014,115296,18040,18040,NA,1435
2014,115357,27,27,NA,7
2014,115393,9800,9800,NA,888
2014,115409,804,804,NA,194
2014,115454,857,857,NA,27
2014,115472,1301,1301,NA,100
2014,115490,1255,1255,NA,48
2014,115515,750,750,NA,25
2014,115533,1232,1232,NA,71
2014,115658,109,109,NA,2
2014,115728,1191,753,438,88
2014,115746,970,NA,970,NA
2014,115755,8485,7979,506,1364
2014,115773,809,617,192,31
2014,115861,8135,8135,NA,1152
2014,115931,196,196,NA,141
2014,116226,210,205,5,6
2014,116350,225,225,NA,67
2014,116439,13157,13157,NA,1386
2014,116466,999,999,NA,103
2014,116475,551,551,NA,53
2014,116484,783,783,NA,76
2014,116563,145,145,NA,24
2014,116712,1230,251,979,NA
2014,116846,204,101,103,12
2014,117052,14633,14633,NA,1843
2014,117104,584,531,53,97
2014,117113,1634,1634,NA,227
2014,117140,8517,5211,3306,565
2014,117168,566,543,23,67
2014,117195,2419,2419,NA,126
2014,117238,124,124,NA,18
2014,117247,10715,10715,NA,302
2014,117274,2557,2557,NA,188
2014,117520,499,NA,499,NA
2014,117557,603,121,482,12
2014,117575,201,64,137,1
2014,117627,2510,2119,391,461
2014,117636,4600,1189,3411,NA
2014,117645,24403,24403,NA,2494
2014,117672,876,324,552,NA
2014,117690,10145,10145,NA,552
2014,117706,21034,21034,NA,1335
2014,117715,6937,6937,NA,196
2014,117724,14688,14688,NA,488
2014,117733,18641,18641,NA,871
2014,117751,1572,1189,383,194
2014,117788,18756,18756,NA,819
2014,117803,204,204,NA,NA
2014,117867,10191,10191,NA,512
2014,117894,8695,8695,NA,707
2014,117928,1058,1052,6,126
2014,117946,9515,6184,3331,1348
2014,117955,274,274,NA,76
2014,118116,64,64,NA,9
2014,118125,41,41,NA,8
2014,118134,59,59,NA,1
2014,118143,51,51,NA,6
2014,118161,132,132,NA,23
2014,118189,146,146,NA,121
2014,118198,1247,1247,NA,332
2014,118259,429,429,NA,52
2014,118277,1297,1297,NA,95
2014,118286,812,812,NA,112
2014,118347,5500,5500,NA,237
2014,118356,2317,2317,NA,465
2014,118541,1108,1086,22,312
2014,118684,3769,3769,NA,230
2014,118693,794,794,NA,190
2014,118718,10214,10214,NA,1064
2014,118772,6055,6055,NA,189
2014,118888,1542,917,625,187
2014,118912,14687,14687,NA,1366
2014,118921,535,535,NA,89
2014,118930,8435,8435,NA,302
2014,118958,36,36,NA,11
2014,118967,789,789,NA,75
2014,118976,17578,17578,NA,1483
2014,118994,102,102,NA,8
2014,119058,711,22,689,NA
2014,119067,7727,7727,NA,580
2014,119137,13880,13880,NA,1721
2014,119164,29045,29045,NA,2561
2014,119173,3292,2668,624,463
2014,119216,14580,14580,NA,1136
2014,119234,107,107,NA,22
2014,119270,1142,1142,NA,303
2014,119331,6348,6348,NA,530
2014,119359,596,596,NA,75
2014,119456,424,424,NA,52
2014,119465,439,439,NA,75
2014,119508,737,737,NA,107
2014,119544,120,47,73,NA
2014,119553,900,900,NA,193
2014,119605,17680,9747,7933,69
2014,119678,2869,NA,2869,NA
2014,119775,498,371,127,37
2014,119845,122,122,NA,29
2014,119951,280,280,NA,71
2014,120069,268,268,NA,74
2014,120078,559,559,NA,143
2014,120087,221,221,NA,65
2014,120184,1982,1178,804,175
2014,120254,2040,2040,NA,546
2014,120272,77,77,NA,6
2014,120290,11318,11318,NA,776
2014,120342,21775,21775,NA,2285
2014,120403,1146,1093,53,238
2014,120421,7148,7148,NA,585
2014,120537,1329,856,473,84
2014,120661,967,967,NA,209
2014,120698,1081,194,887,NA
2014,120740,55,NA,55,NA
2014,120768,1176,482,694,NA
2014,120795,175,NA,175,NA
2014,120838,172,15,157,1
2014,120865,1644,1640,4,324
2014,120883,6304,3810,2494,923
2014,120953,3446,3446,NA,89
2014,120971,24914,24914,NA,2036
2014,121017,161,161,NA,26
2014,121044,26611,26611,NA,2929
2014,121150,7417,3451,3966,655
2014,121257,1076,1076,NA,268
2014,121275,316,316,NA,54
2014,121309,3374,2568,806,587
2014,121345,1650,1650,NA,450
2014,121363,3791,3791,NA,433
2014,121381,441,441,NA,50
2014,121433,120,120,NA,26
2014,121619,29590,29590,NA,1404
2014,121628,102,NA,102,NA
2014,121637,53,53,NA,12
2014,121691,5333,3779,1554,740
2014,121707,4965,4965,NA,334
2014,121859,190,190,NA,35
2014,121868,126,126,NA,24
2014,121886,16263,16263,NA,786
2014,121901,18547,18547,NA,1526
2014,121983,438,139,299,1
2014,121992,189,189,NA,153
2014,122117,171,20,151,NA
2014,122126,129,36,93,NA
2014,122180,23317,23317,NA,1354
2014,122205,20007,20007,NA,1321
2014,122296,1553,574,979,NA
2014,122339,16298,16298,NA,978
2014,122366,168,168,NA,51
2014,122375,24159,24159,NA,1398
2014,122384,11876,11876,NA,690
2014,122409,33483,28394,5089,4779
2014,122436,8349,5741,2608,1129
2014,122454,699,467,232,79
2014,122506,389,171,218,41
2014,122597,29465,25938,3527,3630
2014,122603,155,NA,155,NA
2014,122612,10689,6845,3844,1499
2014,122649,175,NA,175,NA
2014,122658,18572,18572,NA,2109
2014,122685,5219,5219,NA,669
2014,122728,1212,1146,66,213
2014,122746,9072,9072,NA,404
2014,122755,32713,26664,6049,3396
2014,122791,8935,8935,NA,654
2014,122834,562,562,NA,40
2014,122843,1805,1690,115,133
2014,122852,204,204,NA,27
2014,122889,17927,17927,NA,3057
2014,122931,9015,5486,3529,1318
2014,122977,30158,30158,NA,3236
2014,123013,23144,23144,NA,1579
2014,123095,567,NA,567,NA
2014,123165,988,972,16,249
2014,123208,805,805,NA,76
2014,123217,10647,10647,NA,1411
2014,123280,51,39,12,4
2014,123299,8342,8342,NA,664
2014,123341,18565,18565,NA,1816
2014,123350,173,173,NA,27
2014,123396,111,111,NA,10
2014,123448,193,NA,193,NA
2014,123457,1267,1068,199,126
2014,123484,2060,2060,NA,208
2014,123493,695,695,NA,592
2014,123509,9820,9820,NA,494
2014,123527,12965,12965,NA,983
2014,123554,4112,2961,1151,581
2014,123563,9824,9824,NA,651
2014,123572,9290,8512,778,1794
2014,123581,174,174,NA,25
2014,123633,682,107,575,NA
2014,123642,342,342,NA,32
2014,123651,2255,1987,268,313
2014,123679,974,974,NA,222
2014,123800,19000,19000,NA,1671
2014,123855,104,NA,104,NA
2014,123916,89,NA,89,NA
2014,123943,427,NA,427,NA
2014,123952,523,263,260,34
2014,123961,42453,18739,23714,3093
2014,123970,1106,NA,1106,NA
2014,124113,5217,5217,NA,358
2014,124283,285,NA,285,NA
2014,124292,378,378,NA,89
2014,124344,496,496,NA,96
2014,124487,231,208,23,5
2014,124681,3564,3564,NA,1070
2014,124706,668,668,NA,99
2014,124779,28,28,NA,7
2014,124937,620,620,NA,80
2014,125028,12928,12928,NA,1274
2014,125037,93,NA,93,NA
2014,125082,97,97,NA,18
2014,125091,11557,11557,NA,1087
2014,125170,6378,6378,NA,325
2014,125231,52188,8960,43228,2
2014,125310,34,34,NA,2
2014,125462,2650,2650,NA,263
2014,125471,10641,10641,NA,437
2014,125499,9062,9062,NA,626
2014,125532,1385,1385,NA,45
2014,125718,149,NA,149,NA
2014,125727,1300,1300,NA,374
2014,125763,2259,1626,633,378
2014,125897,1588,1338,250,142
2014,126012,445,NA,445,NA
2014,126030,353,NA,353,NA
2014,126049,849,NA,849,NA
2014,126076,163,163,NA,54
2014,126119,6640,6640,NA,784
2014,126164,75,75,NA,6
2014,126182,3154,2156,998,471
2014,126207,5001,5001,NA,276
2014,126289,10401,10401,NA,345
2014,126359,489,489,NA,106
2014,126401,330,330,NA,23
2014,126562,22791,13509,9282,1248
2014,126580,11761,9629,2132,1661
2014,126605,552,552,NA,102
2014,126614,32432,26557,5875,5814
2014,126669,5787,5324,463,383
2014,126678,2067,2050,17,549
2014,126687,761,761,NA,119
2014,126702,1414,1414,NA,166
2014,126711,5705,5705,NA,418
2014,126748,1145,1145,NA,150
2014,126775,5962,4456,1506,998
2014,126784,196,196,NA,90
2014,126818,31354,23598,7756,4253
2014,126827,1566,1144,422,22
2014,126854,83,83,NA,20
2014,126863,7617,7617,NA,284
2014,126872,407,407,NA,32
2014,126915,389,389,NA,82
2014,126942,10296,10296,NA,557
2014,126951,1263,1263,NA,253
2014,126979,944,NA,944,NA
2014,127024,342,342,NA,45
2014,127060,11809,5643,6166,1415
2014,127158,3612,3612,NA,43
2014,127185,3791,3766,25,771
2014,127200,18761,18761,NA,1029
2014,127219,47,47,NA,20
2014,127228,172,172,NA,55
2014,127273,333,NA,333,NA
2014,127316,263,263,NA,22
2014,127389,839,839,NA,115
2014,127556,9116,9003,113,1756
2014,127565,21674,21196,478,1760
2014,127617,1837,1837,NA,69
2014,127653,996,437,559,61
2014,127680,253,253,NA,1
2014,127699,218,218,NA,1
2014,127714,762,762,NA,9
2014,127732,1776,1776,NA,389
2014,127741,12050,9469,2581,1922
2014,127778,1434,1434,NA,200
2014,127787,342,342,NA,21
2014,127820,13947,13947,NA,1002
2014,127839,357,357,NA,83
2014,127884,6203,6203,NA,309
2014,127909,8112,8112,NA,460
2014,127918,9208,5009,4199,481
2014,127945,1045,1019,26,18
2014,127954,71,14,57,4
2014,128106,7256,5192,2064,877
2014,128151,1084,1084,NA,70
2014,128179,828,828,NA,102
2014,128188,617,617,NA,68
2014,128258,1783,1783,NA,247
2014,128328,3952,3952,NA,1138
2014,128337,132,132,NA,42
2014,128391,2584,2341,243,449
2014,128425,15,12,3,7
2014,128498,1550,1256,294,157
2014,128540,137,137,NA,22
2014,128577,1603,1603,NA,226
2014,128586,61,61,NA,10
2014,128674,493,493,NA,73
2014,128683,715,715,NA,144
2014,128726,189,189,NA,106
2014,128744,5191,3021,2170,533
2014,128771,12037,9871,2166,1353
2014,128780,1929,1929,NA,NA
2014,128896,279,279,NA,17
2014,128902,1900,1893,7,498
2014,128957,203,203,NA,98
2014,129002,286,286,NA,47
2014,129020,26541,18395,8146,3577
2014,129154,3440,3440,NA,176
2014,129181,1025,1025,NA,222
2014,129215,5287,5139,148,871
2014,129242,5123,3982,1141,1055
2014,129349,175,175,NA,33
2014,129367,4075,4075,NA,299
2014,129428,191,NA,191,NA
2014,129482,419,419,NA,59
2014,129491,117,NA,117,NA
2014,129525,6817,5180,1637,1205
2014,129534,378,72,306,3
2014,129543,5286,5286,NA,522
2014,129695,7300,7300,NA,820
2014,129729,7102,7102,NA,798
2014,129756,3005,3005,NA,399
2014,129774,778,778,NA,145
2014,129808,4530,4530,NA,537
2014,129923,459,459,NA,85
2014,129932,310,310,NA,143
2014,129941,6811,5048,1763,1216
2014,129969,255,255,NA,40
2014,130004,6363,6363,NA,669
2014,130040,1614,1614,NA,178
2014,130110,129,129,NA,22
2014,130129,390,390,NA,74
2014,130174,2378,2378,NA,302
2014,130183,8366,7642,724,424
2014,130217,1883,1883,NA,240
2014,130226,9035,6553,2482,1651
2014,130253,7781,4997,2784,1385
2014,130314,2565,987,1578,149
2014,130396,8200,8200,NA,750
2014,130448,751,751,NA,5
2014,130493,10825,8133,2692,1275
2014,130509,436,436,NA,134
2014,130581,110,NA,110,NA
2014,130590,2408,2316,92,611
2014,130606,4193,4193,NA,542
2014,130624,896,896,NA,249
2014,130697,3224,2928,296,750
2014,130776,5952,5442,510,774
2014,130785,12,NA,12,NA
2014,130794,12336,5477,6859,1360
2014,130837,42,42,NA,NA
2014,130873,226,226,NA,110
2014,130891,4296,4296,NA,646
2014,130907,2939,2939,NA,480
2014,130916,6700,6700,NA,818
2014,130934,4397,4012,385,878
2014,130943,22680,18951,3729,4510
2014,130989,2012,639,1373,161
2014,131061,136,136,NA,52
2014,131098,1684,1597,87,470
2014,131113,14467,8810,5657,288
2014,131159,13061,7706,5355,1784
2014,131283,6699,3572,3127,830
2014,131399,4803,4491,312,197
2014,131405,95,NA,95,NA
2014,131450,1488,1031,457,181
2014,131469,25613,10740,14873,2410
2014,131496,17858,7595,10263,1575
2014,131520,10265,7013,3252,1467
2014,131742,1371,1371,NA,452
2014,131803,1192,783,409,8
2014,131830,39,39,NA,5
2014,131876,2267,1713,554,284
2014,131973,564,NA,564,NA
2014,132268,400,400,NA,79
2014,132338,1514,1514,NA,192
2014,132374,2599,2599,NA,1076
2014,132408,486,458,28,34
2014,132471,8518,3996,4522,459
2014,132523,42,NA,42,NA
2014,132602,4044,3899,145,939
2014,132657,2613,1976,637,534
2014,132666,80,80,NA,6
2014,132675,121,121,NA,53
2014,132693,15931,15931,NA,1513
2014,132709,44119,44119,NA,3903
2014,132806,14,14,NA,3
2014,132842,1000,305,695,6
2014,132851,7931,7931,NA,900
2014,132879,222,222,NA,42
2014,132903,60767,52671,8096,6216
2014,132976,222,222,NA,133
2014,133021,2080,2080,NA,309
2014,133085,421,412,9,71
2014,133155,679,679,NA,327
2014,133386,13248,13248,NA,1170
2014,133465,1081,942,139,30
2014,133492,2083,2083,NA,511
2014,133508,15389,15389,NA,1851
2014,133526,929,929,NA,222
2014,133553,5538,4967,571,1208
2014,133650,10241,8495,1746,1388
2014,133669,30297,25476,4821,2916
2014,133702,25514,25514,NA,1564
2014,133711,2782,2782,NA,673
2014,133809,555,555,NA,212
2014,133845,652,652,NA,144
2014,133854,640,640,NA,104
2014,133863,411,411,NA,96
2014,133872,2090,1950,140,73
2014,133881,6393,3636,2757,768
2014,133942,52,52,NA,NA
2014,133951,49610,41009,8601,3761
2014,133960,1033,1033,NA,204
2014,133979,1528,1478,50,457
2014,133997,6227,6227,NA,612
2014,134024,81,81,NA,27
2014,134079,2670,2403,267,577
2014,134097,41226,32948,8278,5944
2014,134112,2977,2977,NA,195
2014,134121,173,164,9,6
2014,134130,49459,32829,16630,6475
2014,134149,1548,1270,278,35
2014,134228,28,28,NA,20
2014,134237,19285,17318,1967,3135
2014,134291,456,456,NA,39
2014,134307,649,649,NA,110
2014,134343,5926,5926,NA,645
2014,134422,59,59,NA,25
2014,134495,27298,27298,NA,3287
2014,134510,251,251,NA,34
2014,134529,79,79,NA,4
2014,134574,187,187,NA,44
2014,134608,17665,17665,NA,1467
2014,134680,426,426,NA,42
