"UNITID","YEAR","Total Students"
157304,"2022",5027
157331,"2024",5208
157331,"2023",4867
157331,"2022",4313
157377,"2024",2243
157377,"2023",2242
157377,"2022",1616
157386,"2024",9558
157386,"2023",9836
157386,"2022",10158
157401,"2024",11887
157401,"2023",11531
157401,"2022",10885
157438,"2024",6320
157438,"2023",5915
157438,"2022",5489
157447,"2024",18500
157447,"2023",19039
157447,"2022",19380
157483,"2024",6593
157483,"2023",6874
157483,"2022",6306
157535,"2024",2961
157535,"2023",2759
157535,"2022",2565
157553,"2024",3365
157553,"2023",3364
157553,"2022",2801
157614,"2024",145
157614,"2023",134
157614,"2022",159
157650,"2024",284
157650,"2023",200
157650,"2022",198
157669,"2024",192
157669,"2023",135
157669,"2022",145
157678,"2024",206
157678,"2023",180
157678,"2022",169
157711,"2024",7478
157711,"2023",7180
157711,"2022",6596
157739,"2024",4130
157739,"2023",3779
157739,"2022",3550
157748,"2024",5633
157748,"2023",5539
157748,"2022",5520
157757,"2024",1926
157757,"2023",2005
157757,"2022",1879
157793,"2024",3982
157793,"2023",3855
157793,"2022",3844
157809,"2024",2363
157809,"2023",2240
157809,"2022",2269
157818,"2024",1029
157818,"2023",1007
157818,"2022",998
157863,"2024",1394
157863,"2023",1186
157863,"2022",1215
157951,"2024",19978
157951,"2023",19863
157951,"2022",19768
158088,"2024",1562
158088,"2023",1699
158088,"2022",2707
158246,"2024",311
158246,"2023",228
158246,"2022",223
158325,"2024",199
158325,"2023",190
158325,"2022",179
158431,"2024",8595
158431,"2023",9177
158431,"2022",8212
158477,"2024",690
158477,"2023",598
158477,"2022",559
158538,"2024",76
158538,"2023",81
158538,"2022",58
158617,"2024",843
158617,"2023",648
158617,"2022",673
158662,"2024",18084
158662,"2023",17730
158662,"2022",17257
158778,"2024",117
158778,"2023",102
158778,"2022",90
158787,"2024",105
158787,"2023",89
158787,"2022",80
158802,"2024",1202
158802,"2023",1286
158802,"2022",1255
158884,"2024",3905
158884,"2023",3096
158884,"2022",2835
159009,"2024",5833
159009,"2023",5716
159009,"2022",5882
159027,"2024",181
159027,"2023",128
159027,"2022",66
159197,"2024",798
159197,"2023",793
159197,"2022",858
159328,"2024",147
159328,"2023",157
159328,"2022",115
159373,"2024",3043
159373,"2023",3109
159373,"2022",3173
159382,"2024",6878
159382,"2023",5032
159382,"2022",4612
159391,"2024",44241
159391,"2023",41527
159391,"2022",39475
159407,"2024",4682
159407,"2023",3943
159407,"2022",3739
159416,"2024",14871
159416,"2023",12681
159416,"2022",12898
159513,"2024",292
159513,"2023",322
159513,"2022",307
159522,"2024",235
159522,"2023",232
159522,"2022",272
159531,"2024",43
159531,"2023",43
159531,"2022",39
159568,"2024",1095
159568,"2023",1210
159568,"2022",1345
159601,"2024",46
159601,"2023",48
159601,"2022",43
159647,"2024",12948
159647,"2023",12303
159647,"2022",12398
159656,"2024",4875
159656,"2023",4975
159656,"2022",5128
159717,"2024",6776
159717,"2023",6921
159717,"2022",7143
159939,"2024",8114
159939,"2023",8489
159939,"2022",9492
159948,"2024",3053
159948,"2023",2773
159948,"2022",2824
159966,"2024",7065
159966,"2023",6763
159966,"2022",7043
159993,"2024",9594
159993,"2023",9481
159993,"2022",9793
160010,"2024",1440
160010,"2023",1325
160010,"2022",1356
160038,"2024",10544
160038,"2023",11332
160038,"2022",12851
160065,"2024",1592
160065,"2023",1434
160065,"2022",1524
160074,"2024",1411
160074,"2023",1446
160074,"2022",1596
160117,"2023",228
160117,"2022",353
160126,"2024",67
160126,"2023",62
160126,"2022",41
160199,"2024",55
160199,"2023",58
160199,"2022",67
160320,"2024",4004
160320,"2023",4372
160320,"2022",4292
160409,"2024",103
160409,"2023",107
160409,"2022",116
160472,"2024",317
160472,"2023",367
160472,"2022",297
160481,"2024",3389
160481,"2023",2919
160481,"2022",2557
160524,"2024",421
160524,"2023",434
160524,"2022",504
160579,"2024",4500
160579,"2023",4453
160579,"2022",4182
160597,"2024",112
160597,"2023",135
160597,"2022",152
160612,"2024",17041
160612,"2023",16164
160612,"2022",15903
160621,"2024",9246
160621,"2023",9214
160621,"2022",9374
160630,"2024",2810
160630,"2023",2853
160630,"2022",2746
160649,"2024",4114
160649,"2023",4262
160649,"2022",3849
160658,"2024",16810
160658,"2023",16788
160658,"2022",17884
160667,"2024",6723
160667,"2023",6150
160667,"2022",5524
160755,"2024",15026
160755,"2023",15598
160755,"2022",15270
160904,"2024",3580
160904,"2023",3731
160904,"2022",3984
160959,"2024",386
160959,"2023",407
160959,"2022",419
160977,"2024",1933
160977,"2023",1928
160977,"2022",1958
160995,"2024",694
160995,"2023",626
160995,"2022",642
161004,"2024",2018
161004,"2023",1996
161004,"2022",1989
161022,"2024",310
161022,"2023",299
161022,"2022",308
161077,"2024",5095
161077,"2023",4152
161077,"2022",3589
161086,"2024",2472
161086,"2023",2438
161086,"2022",2342
161138,"2024",3721
161138,"2023",3348
161138,"2022",3041
161192,"2024",3258
161192,"2023",2950
161192,"2022",2807
161208,"2024",43
161208,"2023",46
161208,"2022",57
161217,"2024",5761
161217,"2023",5836
161217,"2022",5750
161226,"2024",2480
161226,"2023",2258
161226,"2022",2259
161235,"2024",1829
161235,"2023",1703
161235,"2022",2004
161253,"2024",13960
161253,"2023",14675
161253,"2022",15005
161299,"2024",1044
161299,"2023",996
161299,"2022",1076
161341,"2024",3617
161341,"2023",2614
161341,"2022",2257
161457,"2024",11153
161457,"2023",11019
161457,"2022",10463
161484,"2024",1284
161484,"2023",1220
161484,"2022",935
161493,"2024",149
161493,"2023",214
161493,"2022",242
161509,"2024",494
161509,"2023",453
161509,"2022",523
161518,"2024",2099
161518,"2023",2059
161518,"2022",2164
161527,"2024",378
161527,"2023",355
161527,"2022",352
161545,"2024",9790
161545,"2023",8693
161545,"2022",7602
161554,"2024",9676
161554,"2023",9718
161554,"2022",10236
161563,"2024",1831
161563,"2023",1974
161563,"2022",1587
161572,"2024",9106
161572,"2023",7585
161572,"2022",4910
161581,"2024",1065
161581,"2023",912
161581,"2022",697
161688,"2024",3395
161688,"2023",3196
161688,"2022",3072
161767,"2024",16083
161767,"2023",15358
161767,"2022",15280
161800,"2024",203
161800,"2023",197
161800,"2022",141
161855,"2024",41
161855,"2023",44
161855,"2022",45
161864,"2024",5803
161864,"2023",5467
161864,"2022",5213
161873,"2024",3975
161873,"2023",3890
161873,"2022",4208
162007,"2024",7274
162007,"2023",7205
162007,"2022",6960
162061,"2024",1297
162061,"2023",1168
162061,"2022",1077
162104,"2024",2248
162104,"2023",2273
162104,"2022",2433
162122,"2024",8145
162122,"2023",7707
162122,"2022",8038
162168,"2024",2719
162168,"2023",2431
162168,"2022",2364
162210,"2024",884
162210,"2023",807
162210,"2022",919
162283,"2024",2354
162283,"2023",2228
162283,"2022",2326
162335,"2024",61
162335,"2023",71
162335,"2022",75
162371,"2024",975
162371,"2023",1097
162371,"2022",1033
162557,"2024",9416
162557,"2023",7633
162557,"2022",6913
162584,"2024",4515
162584,"2023",4575
162584,"2022",4959
162609,"2024",906
162609,"2023",755
162609,"2022",770
162654,"2024",1666
162654,"2023",2694
162654,"2022",3163
162690,"2024",7091
162690,"2023",4807
162690,"2022",4871
162706,"2024",6811
162706,"2023",6359
162706,"2022",6241
162760,"2024",2377
162760,"2023",2326
162760,"2022",2375
162779,"2024",14060
162779,"2023",13324
162779,"2022",12894
162830,"2024",164
162830,"2023",166
162830,"2022",236
162928,"2024",39148
162928,"2023",39399
162928,"2022",40251
163028,"2024",1742
163028,"2023",1544
163028,"2022",1486
163046,"2024",5540
163046,"2023",5722
163046,"2022",5657
163204,"2024",94890
163204,"2023",90412
163204,"2022",86865
163259,"2024",7440
163259,"2023",7720
163259,"2022",8094
163268,"2024",15771
163268,"2023",15904
163268,"2022",15492
163286,"2024",44110
163286,"2023",44086
163286,"2022",42195
163295,"2024",2225
163295,"2023",2334
163295,"2022",2505
163338,"2024",3204
163338,"2023",3229
163338,"2022",2752
163347,"2024",736
163347,"2023",676
163347,"2022",808
163408,"2024",145
163408,"2023",121
163408,"2022",135
163426,"2024",25359
163426,"2023",24105
163426,"2022",24225
163453,"2024",10551
163453,"2023",9912
163453,"2022",9224
163462,"2024",2773
163462,"2023",2743
163462,"2022",2806
163532,"2024",520
163532,"2023",480
163532,"2022",595
163541,"2024",445
163541,"2023",436
163541,"2022",442
163578,"2024",2732
163578,"2023",2781
163578,"2022",2921
163657,"2024",15636
163657,"2023",14835
163657,"2022",14778
163815,"2024",48
163815,"2023",62
163815,"2022",67
163851,"2024",7497
163851,"2023",7736
163851,"2022",8133
163912,"2024",1678
163912,"2023",1657
163912,"2022",1629
163976,"2024",689
163976,"2023",629
163976,"2022",610
164076,"2024",21858
164076,"2023",22027
164076,"2022",23202
164085,"2024",1075
164085,"2023",1196
164085,"2022",1208
164155,"2024",4671
164155,"2023",4644
164155,"2022",4670
164173,"2024",4050
164173,"2023",4079
164173,"2022",4097
164216,"2024",958
164216,"2023",992
164216,"2022",1052
164270,"2024",3548
164270,"2023",3553
164270,"2022",3625
164313,"2024",3630
164313,"2023",3395
164313,"2022",3353
164368,"2024",3103
164368,"2023",3306
164368,"2022",2629
164447,"2024",2610
164447,"2023",2254
164447,"2022",2452
164465,"2024",2049
164465,"2023",2017
164465,"2022",2041
164492,"2024",1573
164492,"2023",1676
164492,"2022",1842
164535,"2024",48
164535,"2023",54
164535,"2022",50
164562,"2024",2211
164562,"2023",2243
164562,"2022",2446
164580,"2024",4645
164580,"2023",4632
164580,"2022",4256
164599,"2024",66
164599,"2023",45
164599,"2022",70
164614,"2024",38
164614,"2023",44
164614,"2022",48
164632,"2024",3629
164632,"2023",3680
164632,"2022",3896
164641,"2022",515
164739,"2024",5534
164739,"2023",5454
164739,"2022",5458
164748,"2024",9705
164748,"2023",9708
164748,"2022",9314
164775,"2024",2174
164775,"2023",1842
164775,"2022",1953
164845,"2023",68
164845,"2022",146
164872,"2024",1006
164872,"2023",953
164872,"2022",923
164915,"2024",187
164915,"2023",180
164915,"2022",184
164924,"2024",16561
164924,"2023",16604
164924,"2022",16849
164988,"2024",45380
164988,"2023",45548
164988,"2022",43952
165015,"2024",5803
165015,"2023",6121
165015,"2022",6026
165024,"2024",11506
165024,"2023",11383
165024,"2022",11696
165033,"2024",8960
165033,"2023",8143
165033,"2022",8201
165060,"2024",177
165060,"2023",232
165060,"2022",226
165112,"2024",11868
165112,"2023",12494
165112,"2022",13498
165167,"2024",3014
165167,"2023",3131
165167,"2022",3690
165194,"2024",4173
165194,"2023",3490
165194,"2022",3828
165255,"2024",340
165255,"2023",262
165255,"2022",245
165264,"2024",972
165264,"2023",1829
165264,"2022",1729
165334,"2024",4611
165334,"2023",4256
165334,"2022",3842
165495,"2024",18
165495,"2023",18
165495,"2022",18
165529,"2024",2320
165529,"2023",2400
165529,"2022",2609
165556,"2023",460
165556,"2022",775
165574,"2024",1297
165574,"2023",1345
165574,"2022",1370
165608,"2024",56
165608,"2023",44
165608,"2022",60
165635,"2024",321
165635,"2023",307
165635,"2022",332
165644,"2024",516
165644,"2023",650
165644,"2022",736
165662,"2024",5988
165662,"2023",6290
165662,"2022",6368
165671,"2024",2231
165671,"2023",2178
165671,"2022",2121
165699,"2024",5091
165699,"2023",4793
165699,"2022",4851
165750,"2024",160
165750,"2023",156
165750,"2022",125
165802,"2024",2875
165802,"2023",2478
165802,"2022",2390
165820,"2024",9604
165820,"2023",9922
165820,"2022",10164
165866,"2024",5888
165866,"2023",6366
165866,"2022",6667
165884,"2024",1040
165884,"2023",982
165884,"2022",946
165936,"2024",2063
165936,"2023",2053
165936,"2022",2233
165945,"2024",1647
165945,"2023",1723
165945,"2022",1856
165981,"2024",2061
165981,"2023",1920
165981,"2022",2042
166018,"2024",771
166018,"2023",548
166018,"2022",500
166027,"2024",37558
166027,"2023",37613
166027,"2022",39374
166045,"2024",193
166045,"2023",234
166045,"2022",134
166054,"2024",240
166054,"2023",146
166054,"2022",136
166124,"2024",3310
166124,"2023",3310
166124,"2022",3323
166133,"2024",5109
166133,"2023",4737
166133,"2022",4913
166391,"2024",1894
166391,"2023",1933
166391,"2022",2057
166407,"2024",254
166407,"2023",278
166407,"2022",356
166452,"2024",4431
166452,"2023",5133
166452,"2022",5330
166489,"2024",334
166489,"2023",327
166489,"2022",286
166498,"2024",94
166498,"2023",95
166498,"2022",89
166513,"2024",20418
166513,"2023",20800
166513,"2022",21543
166629,"2024",36745
166629,"2023",37599
166629,"2022",36872
166638,"2024",17933
166638,"2023",18328
166638,"2022",18901
166647,"2024",6971
166647,"2023",6161
166647,"2022",5733
166656,"2024",6764
166656,"2023",7345
166656,"2022",7965
166674,"2024",2213
166674,"2023",2204
166674,"2022",2164
166683,"2024",12915
166683,"2023",12829
166683,"2022",12923
166692,"2024",1397
166692,"2023",1490
166692,"2022",1601
166708,"2024",1448
166708,"2023",1390
166708,"2022",1335
166717,"2024",1143
166717,"2023",1105
166717,"2022",939
166805,"2024",106
166805,"2023",97
166805,"2022",89
166823,"2024",7905
166823,"2023",7395
166823,"2022",8032
166850,"2024",6849
166850,"2023",6650
166850,"2022",6665
166869,"2024",2226
166869,"2023",1691
166869,"2022",1684
166887,"2024",11771
166887,"2023",11111
166887,"2022",10726
166911,"2024",305
166911,"2023",305
166911,"2022",360
166939,"2024",2688
166939,"2023",2573
166939,"2022",2600
166957,"2024",4709
166957,"2023",3915
166957,"2022",4219
167039,"2024",30
167039,"2023",23
167039,"2022",21
167057,"2024",826
167057,"2023",878
167057,"2022",865
167093,"2024",539
167093,"2023",542
167093,"2022",531
167215,"2024",1123
167215,"2023",1065
167215,"2022",1072
167260,"2024",1526
167260,"2023",1651
167260,"2022",1596
167288,"2024",1292
167288,"2023",1219
167288,"2022",1299
167297,"2024",162
167297,"2023",161
167297,"2022",152
167312,"2024",7570
167312,"2023",7143
167312,"2022",6652
167358,"2024",41654
167358,"2023",39566
167358,"2022",37702
167376,"2024",6504
167376,"2023",5808
167376,"2022",6112
167394,"2024",1657
167394,"2023",1513
167394,"2022",1570
167464,"2023",47
167464,"2022",42
167525,"2024",4684
167525,"2023",4377
167525,"2022",4434
167534,"2024",9511
167534,"2023",8733
167534,"2022",8635
167598,"2024",3675
167598,"2023",3924
167598,"2022",4532
167631,"2024",3344
167631,"2023",2106
167631,"2022",1672
167677,"2024",115
167677,"2023",111
167677,"2022",99
167729,"2024",7428
167729,"2023",7806
167729,"2022",8470
167783,"2024",5787
167783,"2023",6488
167783,"2022",6957
167792,"2024",353
167792,"2023",317
167792,"2022",380
167835,"2024",3194
167835,"2023",3192
167835,"2022",3265
167871,"2024",267
167871,"2023",267
167871,"2022",193
167899,"2024",2849
167899,"2023",3050
167899,"2022",3135
167905,"2024",6342
167905,"2023",5395
167905,"2022",5373
167987,"2024",9128
167987,"2023",8726
167987,"2022",8837
167996,"2024",2773
167996,"2023",2706
167996,"2022",2531
168005,"2024",7246
168005,"2023",7239
168005,"2022",7277
168032,"2024",34
168032,"2023",42
168032,"2022",40
168148,"2024",14945
168148,"2023",15270
168148,"2022",15523
168218,"2024",2503
168218,"2023",2538
168218,"2022",2548
168227,"2024",4674
168227,"2023",4770
168227,"2022",4930
168254,"2024",3874
168254,"2023",3732
168254,"2022",4034
168263,"2024",5529
168263,"2023",5233
168263,"2022",5478
168281,"2024",1780
168281,"2023",1739
168281,"2022",1781
168342,"2024",2326
168342,"2023",2355
168342,"2022",2277
168421,"2024",8009
168421,"2023",7907
168421,"2022",7761
168430,"2024",7785
168430,"2023",7396
168430,"2022",7284
168528,"2024",1875
168528,"2023",1892
168528,"2022",1925
168546,"2024",1479
168546,"2023",1523
168546,"2022",1588
168555,"2024",48
168555,"2023",64
168555,"2022",51
168573,"2024",1154
168573,"2023",1128
168573,"2022",1272
168591,"2024",1301
168591,"2023",1323
168591,"2022",1385
168607,"2024",2798
168607,"2023",2625
168607,"2022",2354
168740,"2024",4003
168740,"2023",3914
168740,"2022",4307
168786,"2024",1280
168786,"2023",1362
168786,"2022",1467
168847,"2024",4976
168847,"2023",5318
168847,"2022",6100
168883,"2024",2527
168883,"2023",2514
168883,"2022",2710
168892,"2024",165
168892,"2023",166
168892,"2022",130
169080,"2024",3678
169080,"2023",3626
169080,"2022",3783
169099,"2024",371
169099,"2023",326
169099,"2022",286
169187,"2024",142
169187,"2023",142
169187,"2022",162
169220,"2024",244
169220,"2023",261
169220,"2022",279
169248,"2024",16725
169248,"2023",17041
169248,"2022",17917
169275,"2024",9347
169275,"2023",8362
169275,"2022",8337
169284,"2024",418
169284,"2023",435
169284,"2022",408
169327,"2024",1566
169327,"2023",1425
169327,"2022",971
169363,"2024",1638
169363,"2023",1363
169363,"2022",1331
169424,"2024",119
169424,"2023",130
169424,"2022",131
169442,"2024",1548
169442,"2023",1563
169442,"2022",1687
169479,"2024",5996
169479,"2023",6244
169479,"2022",6677
169503,"2024",362
169503,"2023",394
169503,"2022",406
169521,"2024",10733
169521,"2023",9721
169521,"2022",9360
169576,"2024",187
169576,"2023",159
169576,"2022",138
169655,"2024",2319
169655,"2023",2182
169655,"2022",2375
169716,"2024",5954
169716,"2023",5767
169716,"2022",5692
169761,"2024",1434
169761,"2023",1322
169761,"2022",1466
169798,"2024",16093
169798,"2023",16770
169798,"2022",19081
169813,"2024",76
169813,"2023",92
169813,"2022",91
169910,"2024",12025
169910,"2023",12162
169910,"2022",12523
169974,"2024",1764
169974,"2023",1648
169974,"2022",1638
169983,"2024",1886
169983,"2023",2167
169983,"2022",2246
169992,"2024",1071
169992,"2023",1048
169992,"2022",1058
170000,"2024",1358
170000,"2023",1528
170000,"2022",1588
170037,"2024",2155
170037,"2023",2066
170037,"2022",2375
170055,"2024",17744
170055,"2023",17294
170055,"2022",18247
170082,"2024",25119
170082,"2023",24603
170082,"2022",25460
170091,"2024",196
170091,"2023",171
170091,"2022",187
170240,"2024",15749
170240,"2023",15739
170240,"2022",16307
170286,"2024",1896
170286,"2023",1794
170286,"2022",1653
170301,"2024",3404
170301,"2023",3282
170301,"2022",3194
170444,"2024",6263
170444,"2023",5895
170444,"2022",5610
170532,"2024",1384
170532,"2023",1376
170532,"2022",1424
170541,"2024",9135
170541,"2023",9143
170541,"2022",10250
170550,"2024",6192
170550,"2023",4917
170550,"2022",4813
170587,"2024",2132
170587,"2023",2006
170587,"2022",2190
170611,"2024",172
170611,"2023",163
170611,"2022",160
170620,"2024",3905
170620,"2023",4243
170620,"2022",4533
170639,"2024",1808
170639,"2023",1815
170639,"2022",1982
170657,"2024",13045
170657,"2023",13224
170657,"2022",14324
170675,"2024",3878
170675,"2023",3447
170675,"2022",3614
170736,"2024",53
170736,"2023",35
170736,"2022",35
170790,"2024",22963
170790,"2023",22537
170790,"2022",23559
170806,"2024",2333
170806,"2023",2355
170806,"2022",2780
170967,"2024",1295
170967,"2023",1318
170967,"2022",1238
170976,"2024",54262
170976,"2023",53422
170976,"2022",52356
171012,"2024",179
171012,"2023",184
171012,"2022",187
171100,"2024",55377
171100,"2023",54390
171100,"2022",53948
171128,"2024",7848
171128,"2023",7509
171128,"2022",7402
171137,"2024",9221
171137,"2023",9455
171137,"2022",9651
171146,"2024",7507
171146,"2023",7182
171146,"2022",7471
171155,"2024",4473
171155,"2023",3900
171155,"2022",3958
171225,"2024",3223
171225,"2023",3236
171225,"2022",3256
171234,"2024",2056
171234,"2023",2055
171234,"2022",1970
171304,"2024",5376
171304,"2023",5144
171304,"2022",5255
171395,"2024",2147
171395,"2023",2154
171395,"2022",2189
171456,"2024",8049
171456,"2023",7760
171456,"2022",8042
171483,"2024",3722
171483,"2023",3629
171483,"2022",3928
171492,"2024",3089
171492,"2023",2911
171492,"2022",3035
171535,"2024",22881
171535,"2023",21975
171535,"2022",22047
171571,"2024",18296
171571,"2023",18762
171571,"2022",19831
171599,"2024",1088
171599,"2023",958
171599,"2022",952
171775,"2024",69
171775,"2023",79
171775,"2022",83
171881,"2024",192
171881,"2023",152
171881,"2022",155
171988,"2024",196
171988,"2023",169
171988,"2022",158
171997,"2024",319
171997,"2023",260
171997,"2022",223
172015,"2024",159
172015,"2023",156
172015,"2022",176
172033,"2024",410
172033,"2023",513
172033,"2022",491
172051,"2024",7637
172051,"2023",7838
172051,"2022",8256
172200,"2024",12977
172200,"2023",11653
172200,"2022",13344
172264,"2024",2192
172264,"2023",2233
172264,"2022",2352
172291,"2024",3999
172291,"2023",4029
172291,"2022",4301
172307,"2024",2339
172307,"2023",2162
172307,"2022",2116
172334,"2024",2791
172334,"2023",2858
172334,"2022",3128
172422,"2024",340
172422,"2023",339
172422,"2022",235
172440,"2022",479
172477,"2024",558
172477,"2023",693
172477,"2022",887
172495,"2024",305
172495,"2023",342
172495,"2022",273
172608,"2024",1664
172608,"2023",1861
172608,"2022",2144
172617,"2024",21126
172617,"2023",20205
172617,"2022",19343
172635,"2024",20639
172635,"2023",18704
172635,"2022",18470
172644,"2024",28051
172644,"2023",27127
172644,"2022",28576
172671,"2024",1335
172671,"2023",1278
172671,"2022",1309
172680,"2024",119
172680,"2023",147
172680,"2022",146
172699,"2024",18447
172699,"2023",18774
172699,"2022",20232
172705,"2024",493
172705,"2023",474
172705,"2022",494
172866,"2024",136
172866,"2023",140
172866,"2022",155
172918,"2024",4249
172918,"2023",3855
172918,"2022",3651
172954,"2024",2625
172954,"2023",2197
172954,"2022",2342
172963,"2024",10580
172963,"2023",10430
172963,"2022",10520
173045,"2024",3631
173045,"2023",3625
173045,"2022",3720
173063,"2024",4775
173063,"2023",4324
173063,"2022",4306
173115,"2024",1477
173115,"2023",1297
173115,"2022",1377
173124,"2024",4956
173124,"2023",5061
173124,"2022",5307
173142,"2024",967
173142,"2023",932
173142,"2022",923
173160,"2024",4501
173160,"2023",4541
173160,"2022",4686
173203,"2024",5906
173203,"2023",5825
173203,"2022",5555
173258,"2024",2106
173258,"2023",2106
173258,"2022",2074
173300,"2024",1955
173300,"2023",1975
173300,"2022",2015
173328,"2024",7743
173328,"2023",7449
173328,"2022",7429
173416,"2024",3602
173416,"2023",3657
173416,"2022",3283
173452,"2024",1226
173452,"2023",1306
173452,"2022",1243
173461,"2024",5607
173461,"2023",5358
173461,"2022",5966
173470,"2022",36
173559,"2024",6708
173559,"2023",6556
173559,"2022",6615
173638,"2024",4818
173638,"2023",4653
173638,"2022",4817
173647,"2024",1970
173647,"2023",2143
173647,"2022",2265
173665,"2024",2997
173665,"2023",3177
173665,"2022",3634
173683,"2024",261
173683,"2023",239
173683,"2022",260
173708,"2024",5914
173708,"2023",5992
173708,"2022",6305
173735,"2024",3688
173735,"2023",3726
173735,"2022",4239
173744,"2024",890
173744,"2023",894
173744,"2022",963
173799,"2024",5284
173799,"2023",4988
173799,"2022",5499
173896,"2024",392
173896,"2023",450
173896,"2022",499
173902,"2024",2158
173902,"2023",2197
173902,"2022",2263
173911,"2024",4490
173911,"2023",4209
173911,"2022",4294
173920,"2024",18388
173920,"2023",18038
173920,"2022",17801
173957,"2024",1748
173957,"2023",1573
173957,"2022",1487
174020,"2024",8185
174020,"2023",8508
174020,"2022",9201
174066,"2024",59339
174066,"2023",59150
174066,"2022",60763
174075,"2024",2979
174075,"2023",2769
174075,"2022",2818
174127,"2024",905
174127,"2023",885
174127,"2022",860
174136,"2024",9577
174136,"2023",9199
174136,"2022",8948
174154,"2024",1174
174154,"2023",1209
174154,"2022",1153
174190,"2024",110
174190,"2023",227
174190,"2022",276
174233,"2024",10069
174233,"2023",10319
174233,"2022",10708
174251,"2024",1100
174251,"2023",1146
174251,"2022",1372
174321,"2024",213
174321,"2023",216
174321,"2022",198
174358,"2024",5828
174358,"2023",6072
174358,"2022",6443
174376,"2024",7229
174376,"2023",7120
174376,"2022",7562
174428,"2024",14821
174428,"2023",13957
174428,"2022",13768
174437,"2024",1141
174437,"2023",1063
174437,"2022",1098
174473,"2024",3261
174473,"2023",3275
174473,"2022",3618
174491,"2024",3588
174491,"2023",3557
174491,"2022",3720
174507,"2024",1355
174507,"2023",1235
174507,"2022",1390
174525,"2024",127
174525,"2023",124
174525,"2022",107
174570,"2024",2646
174570,"2023",2555
174570,"2022",2478
174738,"2024",6268
174738,"2023",6080
174738,"2022",6189
174747,"2024",1482
174747,"2023",1506
174747,"2022",1581
174756,"2024",4968
174756,"2023",4846
174756,"2022",4780
174783,"2024",12618
174783,"2023",12711
174783,"2022",13144
174792,"2024",1684
174792,"2023",1705
174792,"2022",1724
174817,"2024",5642
174817,"2023",5727
174817,"2022",5755
174844,"2024",3138
174844,"2023",3120
174844,"2022",3075
174862,"2024",1996
174862,"2023",1872
174862,"2022",1741
174899,"2024",3847
174899,"2023",4109
174899,"2022",4376
174914,"2024",10193
174914,"2023",10012
174914,"2022",10351
174978,"2024",248
174978,"2023",233
174978,"2022",236
175005,"2024",4300
175005,"2023",4261
175005,"2022",4592
175014,"2024",14004
175014,"2023",8498
175014,"2022",6412
175041,"2024",7550
175041,"2023",7655
175041,"2022",7652
175078,"2024",8943
175078,"2023",8521
175078,"2022",8489
175120,"2024",771
175120,"2023",854
175120,"2022",906
175139,"2024",295
175139,"2023",256
175139,"2022",240
175227,"2024",1578
175227,"2023",1514
175227,"2022",1547
175236,"2024",3540
175236,"2023",3525
175236,"2022",3572
175263,"2024",2692
175263,"2023",2597
175263,"2022",2501
175272,"2024",6901
175272,"2023",7029
175272,"2022",7464
175281,"2024",1228
175281,"2023",1201
175281,"2022",1230
175315,"2024",12097
175315,"2023",11026
175315,"2022",10990
175342,"2024",3272
175342,"2023",3417
175342,"2022",3511
175421,"2024",5176
175421,"2023",4879
175421,"2022",5689
175430,"2024",1070
175430,"2023",1092
175430,"2022",1169
175494,"2024",191
175494,"2023",189
175494,"2022",143
175519,"2024",2344
175519,"2023",2534
175519,"2022",2519
175573,"2024",3472
175573,"2023",3407
175573,"2022",3416
175616,"2024",3636
175616,"2023",3375
175616,"2022",3611
175643,"2024",3206
175643,"2023",2712
175643,"2022",2504
175652,"2024",5047
175652,"2023",4708
175652,"2022",5481
175698,"2024",30
175698,"2023",59
175698,"2022",50
175722,"2024",42
175722,"2023",48
175722,"2022",42
175786,"2024",12468
175786,"2023",12808
175786,"2022",14930
175810,"2024",6971
175810,"2023",6903
175810,"2022",5145
175829,"2024",6294
175829,"2023",6466
175829,"2022",5843
175856,"2024",7261
175856,"2023",7764
175856,"2022",7909
175883,"2024",5819
175883,"2023",6064
175883,"2022",5809
175935,"2024",3752
175935,"2023",3665
175935,"2022",4010
175980,"2024",675
175980,"2023",698
175980,"2022",806
176008,"2024",2517
176008,"2023",2710
176008,"2022",3064
176017,"2024",26841
176017,"2023",24701
176017,"2022",23679
176035,"2024",2841
176035,"2023",2973
176035,"2022",3240
176044,"2024",2826
176044,"2023",2427
176044,"2022",2699
176053,"2024",4960
176053,"2023",4763
176053,"2022",5238
176062,"2024",75
176062,"2023",76
176062,"2022",89
176071,"2024",11554
176071,"2023",11032
176071,"2022",11376
176080,"2024",25234
176080,"2023",25193
176080,"2022",25666
176169,"2024",4097
176169,"2023",3804
176169,"2022",3970
176178,"2024",9772
176178,"2023",9463
176178,"2022",9175
176239,"2024",7302
176239,"2023",7458
176239,"2022",6948
176318,"2024",517
176318,"2023",629
176318,"2022",962
176336,"2024",99
176336,"2023",116
176336,"2022",129
176354,"2024",2220
176354,"2023",2299
176354,"2022",2164
176372,"2024",15411
176372,"2023",15528
176372,"2022",16181
176406,"2024",729
176406,"2023",718
176406,"2022",907
176433,"2024",93
176433,"2023",86
176433,"2022",93
176451,"2024",264
176451,"2023",328
176451,"2022",367
176479,"2024",7130
176479,"2023",7196
176479,"2022",7528
176600,"2024",125
176600,"2023",124
176600,"2022",142
176628,"2024",2505
176628,"2023",1574
176628,"2022",1568
176664,"2024",421
176664,"2023",361
