"UNITID","YEAR","Total Students"
105659,"2024",2218
105659,"2023",1866
105659,"2022",1634
105668,"2024",34287
105668,"2023",33974
105668,"2022",30625
105677,"2024",46
105677,"2023",46
105677,"2022",29
105747,"2024",11319
105747,"2023",11436
105747,"2022",11583
105792,"2024",6113
105792,"2023",5294
105792,"2022",5243
105899,"2024",1368
105899,"2023",1172
105899,"2022",1110
106041,"2024",2612
106041,"2023",2628
106041,"2022",2839
106148,"2024",9665
106148,"2023",9352
106148,"2022",9713
106245,"2024",10086
106245,"2023",10122
106245,"2022",10391
106263,"2024",3697
106263,"2023",3584
106263,"2022",3434
106306,"2024",522
106306,"2023",646
106306,"2022",862
106315,"2024",145
106315,"2023",168
106315,"2022",181
106324,"2024",78
106324,"2023",53
106324,"2022",59
106342,"2024",598
106342,"2023",511
106342,"2022",595
106351,"2024",117
106351,"2023",105
106351,"2022",72
106360,"2022",40
106397,"2024",34602
106397,"2023",33352
106397,"2022",31882
106412,"2024",2305
106412,"2023",2580
106412,"2022",2898
106449,"2024",4027
106449,"2023",3865
106449,"2022",3724
106458,"2024",20313
106458,"2023",18471
106458,"2022",18402
106467,"2024",10783
106467,"2023",10600
106467,"2022",10943
106485,"2024",3377
106485,"2023",4154
106485,"2022",3912
106494,"2024",62
106494,"2023",52
106494,"2022",54
106546,"2024",740
106546,"2023",742
106546,"2022",887
106625,"2024",2178
106625,"2023",2179
106625,"2022",1978
106704,"2024",10989
106704,"2023",11341
106704,"2022",11548
106713,"2024",589
106713,"2023",632
106713,"2022",674
106795,"2024",1708
106795,"2023",1611
106795,"2022",1694
106810,"2024",301
106810,"2023",285
106810,"2022",211
106883,"2024",1765
106883,"2023",1789
106883,"2022",1607
106892,"2022",139
106908,"2024",608
106908,"2023",308
106908,"2022",525
106980,"2024",2824
106980,"2023",2740
106980,"2022",2783
106999,"2024",1548
106999,"2023",1313
106999,"2022",1336
107044,"2024",5753
107044,"2023",5539
107044,"2022",5535
107071,"2024",2521
107071,"2023",2963
107071,"2022",3315
107080,"2024",1118
107080,"2023",1162
107080,"2022",1138
107099,"2024",144
107099,"2023",130
107099,"2022",125
107123,"2024",112
107123,"2023",115
107123,"2022",100
107141,"2024",2776
107141,"2023",2726
107141,"2022",2845
107220,"2024",379
107220,"2023",370
107220,"2022",361
107293,"2024",116
107293,"2023",123
107293,"2022",93
107318,"2024",1388
107318,"2023",1338
107318,"2022",1422
107327,"2024",1945
107327,"2023",1940
107327,"2022",1846
107442,"2024",66
107442,"2023",59
107442,"2022",42
107460,"2024",2409
107460,"2023",2308
107460,"2022",2194
107488,"2024",294
107488,"2023",248
107488,"2022",231
107512,"2024",1922
107512,"2023",1898
107512,"2022",1894
107521,"2024",2293
107521,"2023",2323
107521,"2022",2053
107549,"2024",1327
107549,"2023",1274
107549,"2022",1345
107558,"2024",799
107558,"2023",873
107558,"2022",848
107585,"2024",2752
107585,"2023",2405
107585,"2022",2508
107600,"2024",1001
107600,"2023",1167
107600,"2022",797
107619,"2024",1725
107619,"2023",1606
107619,"2022",1597
107637,"2024",1365
107637,"2023",1426
107637,"2022",1457
107655,"2024",50
107655,"2023",48
107655,"2022",50
107664,"2024",6678
107664,"2023",6355
107664,"2022",6404
107725,"2024",1639
107725,"2023",1561
107725,"2022",1503
107743,"2024",872
107743,"2023",843
107743,"2022",902
107789,"2024",156
107789,"2023",279
107789,"2022",185
107831,"2024",88
107831,"2023",104
107831,"2022",122
107840,"2024",583
107840,"2023",502
107840,"2022",405
107877,"2024",536
107877,"2023",621
107877,"2022",677
107974,"2024",1678
107974,"2023",1733
107974,"2022",1681
107983,"2024",5979
107983,"2023",6037
107983,"2022",5468
107992,"2024",1435
107992,"2023",1437
107992,"2022",1536
108065,"2024",19
108065,"2023",21
108065,"2022",21
108092,"2024",6139
108092,"2023",6034
108092,"2022",6150
108232,"2024",8463
108232,"2023",9251
108232,"2022",10279
108269,"2024",137
108269,"2023",159
108269,"2022",133
108667,"2024",10376
108667,"2023",9540
108667,"2022",8838
108807,"2024",16308
108807,"2023",15608
108807,"2022",15100
108852,"2024",181
108852,"2023",245
108852,"2022",251
108861,"2024",214
108861,"2023",121
108861,"2022",73
108870,"2024",448
108870,"2023",512
108870,"2022",460
108977,"2024",483
108977,"2023",380
108977,"2022",313
109040,"2024",3302
109040,"2023",3091
109040,"2022",2896
109208,"2024",47377
109208,"2023",42387
109208,"2022",41538
109350,"2024",17155
109350,"2023",15482
109350,"2022",14843
109651,"2024",2923
109651,"2023",2965
109651,"2022",3016
109721,"2024",436
