VarNumber,VarName,N,SUM,MEAN,MIN,MAX,varTitle
10191,NEWID,"6,072","7,540,449","1,242",-2,"495,013",UNITID for merged schools
16106,LONGITUD,"6,072","-550,323",-91,-171,171,Longitude location of institution
16111,LATITUDE,"6,072","226,098",37,-14,71,Latitude location of institution
