UNITID,EFFYLEV,LSTUDY,XFYRAC01,FYRACE01,XFYRAC02,FYRACE02,XFYRAC03,FYRACE03,XFYRAC04,FYRACE04,XFYRAC05,FYRACE05,XFYRAC06,FYRACE06,XFYRAC07,FYRACE07,XFYRAC08,FYRACE08,XFYRAC09,FYRACE09,XFYRAC10,FYRACE10,XFYRAC11,FYRACE11,XFYRAC12,FYRACE12,XFYRAC13,FYRACE13,XFYRAC14,FYRACE14,XFYRAC15,FYRACE15,XFYRAC16,FYRACE16,XFYRAC17,FYRACE17,XFYRAC18,FYRACE18,XFYRAC19,FYRACE19,XFYRAC20,FYRACE20,XFYRAC21,FYRACE21,XFYRAC22,FYRACE22,XFYRAC23,FYRACE23,XFYRAC24,FYRACE24
140669,1,999,"R",34,"R",20,"R",63,"R",98,"R",10,"R",14,"R",38,"R",37,"R",53,"R",45,"R",1890,"R",3191,"Z",0,"Z",0,"R",2088,"R",3405,"R",54,"R",161,"R",24,"R",75,"R",98,"R",5081,"Z",0,"R",5493
140669,2,  1,"R",32,"R",17,"R",61,"R",83,"R",10,"R",11,"R",37,"R",29,"R",53,"R",39,"R",1696,"R",2659,"Z",0,"Z",0,"R",1889,"R",2838,"R",49,"R",144,"R",21,"R",66,"R",92,"R",4355,"Z",0,"R",4727
140669,4,  3,"R",2,"R",3,"R",2,"R",15,"Z",0,"R",3,"R",1,"R",8,"Z",0,"R",6,"R",194,"R",532,"Z",0,"Z",0,"R",199,"R",567,"R",5,"R",17,"R",3,"R",9,"R",6,"R",726,"Z",0,"R",766
140678,1,999,"Z",0,"Z",0,"R",115,"R",152,"R",3,"R",6,"R",12,"R",17,"R",25,"R",22,"R",1242,"R",1511,"R",4,"R",12,"R",1401,"R",1720,"Z",0,"R",267,"R",9,"R",29,"R",47,"R",2753,"R",16,"R",3121
140678,2,  1,"Z",0,"Z",0,"R",115,"R",152,"R",3,"R",6,"R",12,"R",17,"R",25,"R",22,"R",1242,"R",1511,"R",4,"R",12,"R",1401,"R",1720,"Z",0,"R",267,"R",9,"R",29,"R",47,"R",2753,"R",16,"R",3121
140696,1,999,"R",17,"R",36,"R",58,"R",183,"Z",0,"Z",0,"R",3,"R",32,"R",14,"R",24,"R",259,"R",400,"R",76,"R",153,"R",427,"R",828,"R",53,"R",241,"Z",0,"R",35,"R",38,"R",659,"R",229,"R",1255
140696,2,  1,"R",15,"R",34,"R",57,"R",181,"Z",0,"Z",0,"R",3,"R",30,"R",13,"R",24,"R",255,"R",367,"R",63,"R",115,"R",406,"R",751,"R",49,"R",238,"Z",0,"R",33,"R",37,"R",622,"R",178,"R",1157
140696,4,  3,"R",2,"R",2,"R",1,"R",2,"Z",0,"Z",0,"Z",0,"R",2,"R",1,"Z",0,"R",4,"R",33,"R",13,"R",38,"R",21,"R",77,"R",4,"R",3,"Z",0,"R",2,"R",1,"R",37,"R",51,"R",98
140711,1,999,"Z",0,"Z",0,"R",3,"R",37,"Z",0,"Z",0,"Z",0,"R",5,"Z",0,"R",1,"Z",0,"R",4,"Z",0,"Z",0,"R",3,"R",47,"Z",0,"R",40,"Z",0,"R",5,"R",1,"R",4,"Z",0,"R",50
140711,2,  1,"Z",0,"Z",0,"R",3,"R",37,"Z",0,"Z",0,"Z",0,"R",5,"Z",0,"R",1,"Z",0,"R",4,"Z",0,"Z",0,"R",3,"R",47,"Z",0,"R",40,"Z",0,"R",5,"R",1,"R",4,"Z",0,"R",50
