UNITID,EFFYLEV,LSTUDY,XFYRAC01,FYRACE01,XFYRAC02,FYRACE02,XFYRAC03,FYRACE03,XFYRAC04,FYRACE04,XFYRAC05,FYRACE05,XFYRAC06,FYRACE06,XFYRAC07,FYRACE07,XFYRAC08,FYRACE08,XFYRAC09,FYRACE09,XFYRAC10,FYRACE10,XFYRAC11,FYRACE11,XFYRAC12,FYRACE12,XFYRAC13,FYRACE13,XFYRAC14,FYRACE14,XFYRAC15,FYRACE15,XFYRAC16,FYRACE16,XFYRAC17,FYRACE17,XFYRAC18,FYRACE18,XFYRAC19,FYRACE19,XFYRAC20,FYRACE20,XFYRAC21,FYRACE21,XFYRAC22,FYRACE22,XFYRAC23,FYRACE23,XFYRAC24,FYRACE24
408163,2,  1,"Z",0,"Z",0,"Z",0,"R",4,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"R",1,"Z",0,"R",35,"Z",0,"Z",0,"Z",0,"R",41,"Z",0,"R",4,"Z",0,"R",1,"R",1,"R",35,"Z",0,"R",41
408312,1,999,"Z",0,"Z",0,"R",3,"R",8,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"R",6,"R",38,"Z",0,"Z",0,"R",9,"R",47,"Z",0,"R",11,"Z",0,"R",1,"Z",0,"R",44,"Z",0,"R",56
408312,2,  1,"Z",0,"Z",0,"R",3,"R",8,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"R",6,"R",38,"Z",0,"Z",0,"R",9,"R",47,"Z",0,"R",11,"Z",0,"R",1,"Z",0,"R",44,"Z",0,"R",56
408385,1,999,"Z",0,"Z",0,"R",6,"R",4,"Z",0,"Z",0,"Z",0,"R",11,"R",66,"R",308,"R",9,"R",47,"Z",0,"Z",0,"R",81,"R",370,"Z",0,"R",10,"Z",0,"R",11,"R",374,"R",56,"Z",0,"R",451
408385,2,  1,"Z",0,"Z",0,"R",6,"R",4,"Z",0,"Z",0,"Z",0,"R",11,"R",66,"R",308,"R",9,"R",47,"Z",0,"Z",0,"R",81,"R",370,"Z",0,"R",10,"Z",0,"R",11,"R",374,"R",56,"Z",0,"R",451
408394,1,999,"Z",0,"Z",0,"R",148,"R",135,"R",1,"R",1,"R",3,"Z",0,"R",31,"R",6,"R",439,"R",166,"Z",0,"Z",0,"R",622,"R",308,"Z",0,"R",283,"R",2,"R",3,"R",37,"R",605,"Z",0,"R",930
408394,2,  1,"Z",0,"Z",0,"R",148,"R",135,"R",1,"R",1,"R",3,"Z",0,"R",31,"R",6,"R",439,"R",166,"Z",0,"Z",0,"R",622,"R",308,"Z",0,"R",283,"R",2,"R",3,"R",37,"R",605,"Z",0,"R",930
408437,1,999,"Z",0,"Z",0,"R",1,"Z",0,"R",1,"Z",0,"R",1,"Z",0,"R",1,"R",1,"R",12,"R",35,"Z",0,"Z",0,"R",16,"R",36,"Z",0,"R",1,"R",1,"R",1,"R",2,"R",47,"Z",0,"R",52
408437,2,  1,"Z",0,"Z",0,"R",1,"Z",0,"R",1,"Z",0,"R",1,"Z",0,"R",1,"R",1,"R",12,"R",35,"Z",0,"Z",0,"R",16,"R",36,"Z",0,"R",1,"R",1,"R",1,"R",2,"R",47,"Z",0,"R",52
408844,1,999,"Z",0,"Z",0,"R",61,"R",145,"R",9,"R",8,"R",5,"R",16,"R",850,"R",1865,"R",14,"R",9,"R",10,"R",21,"R",949,"R",2064,"Z",0,"R",206,"R",17,"R",21,"R",2715,"R",23,"R",31,"R",3013
408844,2,  1,"Z",0,"Z",0,"R",61,"R",145,"R",9,"R",8,"R",5,"R",16,"R",850,"R",1865,"R",14,"R",9,"R",10,"R",21,"R",949,"R",2064,"Z",0,"R",206,"R",17,"R",21,"R",2715,"R",23,"R",31,"R",3013
408862,1,999,"Z",0,"Z",0,"R",6,"R",72,"Z",0,"R",1,"R",1,"R",1,"Z",0,"R",6,"R",5,"R",75,"Z",0,"Z",0,"R",12,"R",155,"Z",0,"R",78,"R",1,"R",2,"R",6,"R",80,"Z",0,"R",167
408862,2,  1,"Z",0,"Z",0,"R",6,"R",72,"Z",0,"R",1,"R",1,"R",1,"Z",0,"R",6,"R",5,"R",75,"Z",0,"Z",0,"R",12,"R",155,"Z",0,"R",78,"R",1,"R",2,"R",6,"R",80,"Z",0,"R",167
409032,1,999,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",13,"R",396,"Z",0,"Z",0,"Z",0,"Z",0,"R",13,"R",396,"Z",0,"Z",0,"Z",0,"Z",0,"R",409,"Z",0,"Z",0,"R",409
409032,2,  1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",13,"R",396,"Z",0,"Z",0,"Z",0,"Z",0,"R",13,"R",396,"Z",0,"Z",0,"Z",0,"Z",0,"R",409,"Z",0,"Z",0,"R",409
409069,1,999,"Z",0,"Z",0,"R",236,"R",50,"R",2,"R",1,"R",21,"R",1,"R",200,"R",39,"R",237,"R",36,"R",24,"R",7,"R",720,"R",134,"Z",0,"R",286,"R",3,"R",22,"R",239,"R",273,"R",31,"R",854
409069,2,  1,"Z",0,"Z",0,"R",236,"R",50,"R",2,"R",1,"R",21,"R",1,"R",200,"R",39,"R",237,"R",36,"R",24,"R",7,"R",720,"R",134,"Z",0,"R",286,"R",3,"R",22,"R",239,"R",273,"R",31,"R",854
409120,1,999,"Z",0,"Z",0,"Z",0,"R",5,"R",2,"R",8,"R",1,"R",2,"R",1,"R",3,"R",71,"R",190,"R",3,"R",5,"R",78,"R",213,"Z",0,"R",5,"R",10,"R",3,"R",4,"R",261,"R",8,"R",291
409120,2,  1,"Z",0,"Z",0,"Z",0,"R",5,"R",2,"R",8,"R",1,"R",2,"R",1,"R",3,"R",71,"R",190,"R",3,"R",5,"R",78,"R",213,"Z",0,"R",5,"R",10,"R",3,"R",4,"R",261,"R",8,"R",291
409166,1,999,"Z",0,"Z",0,"R",5,"Z",0,"Z",0,"R",7,"R",1,"R",2,"Z",0,"R",22,"R",3,"R",123,"Z",0,"R",5,"R",9,"R",159,"Z",0,"R",5,"R",7,"R",3,"R",22,"R",126,"R",5,"R",168
409166,2,  1,"Z",0,"Z",0,"R",5,"Z",0,"Z",0,"R",7,"R",1,"R",2,"Z",0,"R",22,"R",3,"R",123,"Z",0,"R",5,"R",9,"R",159,"Z",0,"R",5,"R",7,"R",3,"R",22,"R",126,"R",5,"R",168
409193,1,999,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",678,"R",5,"Z",0,"Z",0,"Z",0,"Z",0,"R",678,"R",5,"Z",0,"Z",0,"Z",0,"Z",0,"R",683,"Z",0,"Z",0,"R",683
409193,2,  1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",678,"R",5,"Z",0,"Z",0,"Z",0,"Z",0,"R",678,"R",5,"Z",0,"Z",0,"Z",0,"Z",0,"R",683,"Z",0,"Z",0,"R",683
409209,1,999,"Z",0,"Z",0,"R",1,"R",112,"Z",0,"Z",0,"Z",0,"R",2,"Z",0,"R",2,"Z",0,"R",48,"Z",0,"Z",0,"R",1,"R",164,"Z",0,"R",113,"Z",0,"R",2,"R",2,"R",48,"Z",0,"R",165
409209,2,  1,"Z",0,"Z",0,"R",1,"R",112,"Z",0,"Z",0,"Z",0,"R",2,"Z",0,"R",2,"Z",0,"R",48,"Z",0,"Z",0,"R",1,"R",164,"Z",0,"R",113,"Z",0,"R",2,"R",2,"R",48,"Z",0,"R",165
409245,1,999,"Z",0,"Z",0,"R",2,"R",8,"Z",0,"Z",0,"Z",0,"R",2,"Z",0,"R",1,"R",1,"R",9,"Z",0,"Z",0,"R",3,"R",20,"Z",0,"R",10,"Z",0,"R",2,"R",1,"R",10,"Z",0,"R",23
409245,2,  1,"Z",0,"Z",0,"R",2,"R",8,"Z",0,"Z",0,"Z",0,"R",2,"Z",0,"R",1,"R",1,"R",9,"Z",0,"Z",0,"R",3,"R",20,"Z",0,"R",10,"Z",0,"R",2,"R",1,"R",10,"Z",0,"R",23
409254,1,999,"Z",0,"R",1,"R",3,"R",46,"Z",0,"R",1,"Z",0,"R",7,"Z",0,"R",32,"R",5,"R",170,"Z",0,"R",18,"R",8,"R",275,"R",1,"R",49,"R",1,"R",7,"R",32,"R",175,"R",18,"R",283
409254,4,  3,"Z",0,"R",1,"R",3,"R",46,"Z",0,"R",1,"Z",0,"R",7,"Z",0,"R",32,"R",5,"R",170,"Z",0,"R",18,"R",8,"R",275,"R",1,"R",49,"R",1,"R",7,"R",32,"R",175,"R",18,"R",283
409281,1,999,"Z",0,"Z",0,"R",4,"R",167,"Z",0,"R",1,"Z",0,"R",1,"Z",0,"R",2,"R",3,"R",49,"Z",0,"Z",0,"R",7,"R",220,"Z",0,"R",171,"R",1,"R",1,"R",2,"R",52,"Z",0,"R",227
409281,2,  1,"Z",0,"Z",0,"R",4,"R",167,"Z",0,"R",1,"Z",0,"R",1,"Z",0,"R",2,"R",3,"R",49,"Z",0,"Z",0,"R",7,"R",220,"Z",0,"R",171,"R",1,"R",1,"R",2,"R",52,"Z",0,"R",227
409315,1,999,"R",111,"R",128,"R",7,"R",7,"R",3,"R",1,"R",99,"R",88,"R",7729,"R",12662,"R",450,"R",520,"R",53,"R",69,"R",8452,"R",13475,"R",239,"R",14,"R",4,"R",187,"R",20391,"R",970,"R",122,"R",21927
409315,2,  1,"R",111,"R",128,"R",7,"R",7,"R",3,"R",1,"R",99,"R",88,"R",7729,"R",12662,"R",450,"R",520,"R",53,"R",69,"R",8452,"R",13475,"R",239,"R",14,"R",4,"R",187,"R",20391,"R",970,"R",122,"R",21927
409324,1,999,"Z",0,"Z",0,"R",8,"R",9,"R",1,"R",10,"R",4,"R",9,"R",6,"R",22,"R",26,"R",108,"R",10,"R",45,"R",55,"R",203,"Z",0,"R",17,"R",11,"R",13,"R",28,"R",134,"R",55,"R",258
409324,2,  1,"Z",0,"Z",0,"R",8,"R",9,"R",1,"R",10,"R",4,"R",9,"R",6,"R",22,"R",26,"R",108,"R",10,"R",45,"R",55,"R",203,"Z",0,"R",17,"R",11,"R",13,"R",28,"R",134,"R",55,"R",258
409333,1,999,"R",44,"R",52,"R",1,"R",4,"Z",0,"Z",0,"Z",0,"R",2,"R",4,"R",3,"R",9,"R",11,"R",6,"R",6,"R",64,"R",78,"R",96,"R",5,"Z",0,"R",2,"R",7,"R",20,"R",12,"R",142
