unitid,effylev,lstudy,"xfyrac01",fyrace01,"xfyrac02",fyrace02,"xfyrac03",fyrace03,"xfyrac04",fyrace04,"xfyrac05",fyrace05,"xfyrac06",fyrace06,"xfyrac07",fyrace07,"xfyrac08",fyrace08,"xfyrac09",fyrace09,"xfyrac10",fyrace10,"xfyrac11",fyrace11,"xfyrac12",fyrace12,"xfyrac13",fyrace13,"xfyrac14",fyrace14,"xfyrac15",fyrace15,"xfyrac16",fyrace16,"xfyrac17",fyrace17,"xfyrac18",fyrace18,"xfyrac19",fyrace19,"xfyrac20",fyrace20,"xfyrac21",fyrace21,"xfyrac22",fyrace22,"xfyrac23",fyrace23,"xfyrac24",fyrace24
100760,1,999,"Z",0,"Z",0,"R",118,"R",499,"R",3,"R",3,"R",3,"R",4,"R",6,"R",13,"R",741,"R",1192,"R",7,"R",7,"R",878,"R",1718,"Z",0,"R",617,"R",6,"R",7,"R",19,"R",1933,"R",14,"R",2596
100760,2,1,"Z",0,"Z",0,"R",118,"R",499,"R",3,"R",3,"R",3,"R",4,"R",6,"R",13,"R",741,"R",1192,"R",7,"R",7,"R",878,"R",1718,"Z",0,"R",617,"R",6,"R",7,"R",19,"R",1933,"R",14,"R",2596
100812,1,999,"Z",0,"Z",0,"R",141,"R",267,"R",23,"R",45,"R",12,"R",13,"R",8,"R",11,"R",1021,"R",1920,"R",22,"R",34,"R",1227,"R",2290,"Z",0,"R",408,"R",68,"R",25,"R",19,"R",2941,"R",56,"R",3517
100812,2,1,"R",0,"R",0,"R",141,"R",267,"R",23,"R",45,"R",12,"R",13,"R",8,"R",11,"R",1021,"R",1920,"R",22,"R",34,"R",1227,"R",2290,"Z",0,"R",408,"R",68,"R",25,"R",19,"R",2941,"R",56,"R",3517
100830,1,999,"Z",0,"Z",0,"R",630,"R",1650,"R",18,"R",20,"R",46,"R",75,"R",29,"R",56,"R",1730,"R",2480,"R",27,"R",46,"R",2480,"R",4327,"Z",0,"R",2280,"R",38,"R",121,"R",85,"R",4210,"R",73,"R",6807
100830,2,1,"R",0,"R",0,"R",533,"R",1319,"R",14,"R",18,"R",37,"R",64,"R",23,"R",49,"R",1442,"R",2026,"R",25,"R",44,"R",2074,"R",3520,"Z",0,"R",1852,"R",32,"R",101,"R",72,"R",3468,"R",69,"R",5594
100830,4,3,"R",0,"R",0,"R",97,"R",331,"R",4,"R",2,"R",9,"R",11,"R",6,"R",7,"R",288,"R",454,"R",2,"R",2,"R",406,"R",807,"Z",0,"R",428,"R",6,"R",20,"R",13,"R",742,"R",4,"R",1213
100858,1,999,"R",594,"R",324,"R",830,"R",1021,"R",59,"R",58,"R",167,"R",158,"R",116,"R",121,"R",11040,"R",10158,"R",74,"R",53,"R",12880,"R",11893,"R",918,"R",1851,"R",117,"R",325,"R",237,"R",21198,"R",127,"R",24773
100858,2,1,"R",180,"R",105,"R",740,"R",828,"R",50,"R",47,"R",148,"R",128,"R",93,"R",99,"R",9557,"R",8568,"R",35,"R",23,"R",10803,"R",9798,"R",285,"R",1568,"R",97,"R",276,"R",192,"R",18125,"R",58,"R",20601
100858,3,2,"R",3,"R",2,"R",4,"R",21,"R",1,"R",5,"R",4,"R",16,"Z",0,"R",2,"R",223,"R",460,"Z",0,"Z",0,"R",235,"R",506,"R",5,"R",25,"R",6,"R",20,"R",2,"R",683,"Z",0,"R",741
100858,4,3,"R",411,"R",217,"R",86,"R",172,"R",8,"R",6,"R",15,"R",14,"R",23,"R",20,"R",1260,"R",1130,"R",39,"R",30,"R",1842,"R",1589,"R",628,"R",258,"R",14,"R",29,"R",43,"R",2390,"R",69,"R",3431
100919,1,999,"Z",0,"Z",0,"R",443,"R",566,"R",5,"R",8,"R",2,"R",3,"R",6,"R",1,"R",742,"R",376,"R",31,"R",26,"R",1229,"R",980,"Z",0,"R",1009,"R",13,"R",5,"R",7,"R",1118,"R",57,"R",2209
100919,2,1,"Z",0,"Z",0,"R",443,"R",566,"R",5,"R",8,"R",2,"R",3,"R",6,"R",1,"R",742,"R",376,"R",31,"R",26,"R",1229,"R",980,"Z",0,"R",1009,"R",13,"R",5,"R",7,"R",1118,"R",57,"R",2209
100937,1,999,"R",1,"R",2,"R",47,"R",69,"R",2,"R",4,"R",16,"R",16,"R",6,"R",3,"R",519,"R",714,"R",6,"R",2,"R",597,"R",810,"R",3,"R",116,"R",6,"R",32,"R",9,"R",1233,"R",8,"R",1407
