unitid,effylev,lstudy,"xfyrac01",fyrace01,"xfyrac02",fyrace02,"xfyrac03",fyrace03,"xfyrac04",fyrace04,"xfyrac05",fyrace05,"xfyrac06",fyrace06,"xfyrac07",fyrace07,"xfyrac08",fyrace08,"xfyrac09",fyrace09,"xfyrac10",fyrace10,"xfyrac11",fyrace11,"xfyrac12",fyrace12,"xfyrac13",fyrace13,"xfyrac14",fyrace14,"xfyrac15",fyrace15,"xfyrac16",fyrace16,"xfyrac17",fyrace17,"xfyrac18",fyrace18,"xfyrac19",fyrace19,"xfyrac20",fyrace20,"xfyrac21",fyrace21,"xfyrac22",fyrace22,"xfyrac23",fyrace23,"xfyrac24",fyrace24
100654,1,999,"R",191,"R",159,"R",2641,"R",3285,"R",7,"R",6,"R",13,"R",13,"R",8,"R",16,"R",222,"R",546,"R",3,"R",2,"R",3085,"R",4027,"R",350,"R",5926,"R",13,"R",26,"R",24,"R",768,"R",5,"R",7112
100654,2,1,"R",122,"R",107,"R",2369,"R",2585,"R",6,"R",3,"R",7,"R",7,"R",6,"R",10,"R",101,"R",120,"R",2,"R",2,"R",2613,"R",2834,"R",229,"R",4954,"R",9,"R",14,"R",16,"R",221,"R",4,"R",5447
100654,4,3,"R",69,"R",52,"R",272,"R",700,"R",1,"R",3,"R",6,"R",6,"R",2,"R",6,"R",121,"R",426,"R",1,"R",0,"R",472,"R",1193,"R",121,"R",972,"R",4,"R",12,"R",8,"R",547,"R",1,"R",1665
100663,1,999,"R",782,"R",439,"R",1362,"R",3513,"R",39,"R",41,"R",294,"R",343,"R",73,"R",119,"R",5242,"R",6876,"R",194,"R",211,"R",7986,"R",11542,"R",1221,"R",4875,"R",80,"R",637,"R",192,"R",12118,"R",405,"R",19528
100663,2,1,"R",269,"R",183,"R",1163,"R",2802,"R",29,"R",22,"R",165,"R",199,"R",56,"R",89,"R",3557,"R",4269,"R",151,"R",175,"R",5390,"R",7739,"R",452,"R",3965,"R",51,"R",364,"R",145,"R",7826,"R",326,"R",13129
100663,3,2,"R",8,"R",1,"R",24,"R",41,"R",5,"R",4,"R",60,"R",61,"R",7,"R",5,"R",472,"R",313,"R",2,"R",0,"R",578,"R",425,"R",9,"R",65,"R",9,"R",121,"R",12,"R",785,"R",2,"R",1003
100663,4,3,"R",505,"R",255,"R",175,"R",670,"R",5,"R",15,"R",69,"R",83,"R",10,"R",25,"R",1213,"R",2294,"R",41,"R",36,"R",2018,"R",3378,"R",760,"R",845,"R",20,"R",152,"R",35,"R",3507,"R",77,"R",5396
100690,1,999,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",460,"R",337,"R",460,"R",337,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",797,"R",797
100690,2,1,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",219,"R",192,"R",219,"R",192,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",411,"R",411
100690,3,2,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",53,"R",22,"R",53,"R",22,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",75,"R",75
